visit_id,cce_type,available,functional
KD-003-R6,Ice Packs,Yes,Yes
KD-004-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-004-R1,Refrigerators,No,
KD-004-R1,Temperature Monitoring Devices,Yes,No
KD-004-R1,Cold Boxes (6L),Yes,Yes
KD-004-R1,GioStyle (4L),No,
KD-004-R1,Rush (3L),Yes,Yes
KD-004-R1,Ice Packs,Yes,Yes
KD-004-R2,Solar Refrigerators and Freezers,Yes,Yes
KD-004-R2,Refrigerators,No,
KD-004-R2,Temperature Monitoring Devices,Yes,Yes
KD-004-R2,Cold Boxes (6L),Yes,Yes
KD-004-R2,GioStyle (4L),No,
KD-004-R2,Rush (3L),Yes,Yes
KD-004-R2,Ice Packs,Yes,Yes
KD-004-R3,Solar Refrigerators and Freezers,Yes,Yes
KD-004-R3,Refrigerators,No,
KD-004-R3,Temperature Monitoring Devices,Yes,Yes
KD-004-R3,Cold Boxes (6L),Yes,Yes
KD-004-R3,GioStyle (4L),No,
KD-004-R3,Rush (3L),Yes,Yes
KD-004-R3,Ice Packs,Yes,Yes
KD-004-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-004-R4,Refrigerators,No,
KD-004-R4,Temperature Monitoring Devices,Yes,Yes
KD-004-R4,Cold Boxes (6L),Yes,Yes
KD-004-R4,GioStyle (4L),No,
KD-004-R4,Rush (3L),Yes,Yes
KD-004-R4,Ice Packs,Yes,Yes
KD-004-R5,Solar Refrigerators and Freezers,Yes,No
KD-004-R5,Refrigerators,No,
KD-004-R5,Temperature Monitoring Devices,Yes,Yes
KD-004-R5,Cold Boxes (6L),Yes,Yes
KD-004-R5,GioStyle (4L),No,
KD-004-R5,Rush (3L),Yes,Yes
KD-004-R5,Ice Packs,Yes,Yes
KD-004-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-004-R6,Refrigerators,No,
KD-004-R6,Temperature Monitoring Devices,Yes,Yes
KD-004-R6,Cold Boxes (6L),Yes,Yes
KD-004-R6,GioStyle (4L),No,
KD-004-R6,Rush (3L),Yes,Yes
KD-004-R6,Ice Packs,Yes,Yes
KD-005-R1,Solar Refrigerators and Freezers,No,
KD-005-R1,Refrigerators,Yes,Yes
KD-005-R1,Temperature Monitoring Devices,Yes,Yes
KD-005-R1,Cold Boxes (6L),Yes,Yes
KD-005-R1,GioStyle (4L),Yes,Yes
KD-005-R1,Rush (3L),No,
KD-005-R1,Ice Packs,Yes,Yes
KD-005-R2,Solar Refrigerators and Freezers,No,
KD-005-R2,Refrigerators,Yes,Yes
KD-005-R2,Temperature Monitoring Devices,Yes,Yes
KD-005-R2,Cold Boxes (6L),Yes,Yes
KD-005-R2,GioStyle (4L),Yes,No
KD-005-R2,Rush (3L),No,
KD-005-R2,Ice Packs,Yes,Yes
KD-005-R3,Solar Refrigerators and Freezers,No,
KD-005-R3,Refrigerators,Yes,Yes
KD-005-R3,Temperature Monitoring Devices,Yes,Yes
KD-005-R3,Cold Boxes (6L),Yes,Yes
KD-005-R3,GioStyle (4L),Yes,Yes
KD-005-R3,Rush (3L),No,
KD-005-R3,Ice Packs,Yes,Yes
KD-005-R4,Solar Refrigerators and Freezers,No,
KD-005-R4,Refrigerators,Yes,No
KD-005-R4,Temperature Monitoring Devices,Yes,Yes
KD-005-R4,Cold Boxes (6L),Yes,No
KD-005-R4,GioStyle (4L),Yes,Yes
KD-005-R4,Rush (3L),No,
KD-005-R4,Ice Packs,Yes,Yes
KD-005-R5,Solar Refrigerators and Freezers,No,
KD-005-R5,Refrigerators,Yes,Yes
KD-005-R5,Temperature Monitoring Devices,Yes,Yes
KD-005-R5,Cold Boxes (6L),Yes,Yes
KD-005-R5,GioStyle (4L),Yes,Yes
KD-005-R5,Rush (3L),No,
KD-005-R5,Ice Packs,Yes,Yes
KD-005-R6,Solar Refrigerators and Freezers,No,
KD-005-R6,Refrigerators,Yes,No
KD-005-R6,Temperature Monitoring Devices,Yes,Yes
KD-005-R6,Cold Boxes (6L),Yes,Yes
KD-005-R6,GioStyle (4L),Yes,Yes
KD-005-R6,Rush (3L),No,
KD-005-R6,Ice Packs,Yes,Yes
KD-006-R1,Solar Refrigerators and Freezers,No,
KD-006-R1,Refrigerators,No,
KD-006-R1,Temperature Monitoring Devices,No,
KD-006-R1,Cold Boxes (6L),No,
KD-006-R1,GioStyle (4L),No,
KD-006-R1,Rush (3L),No,
KD-006-R1,Ice Packs,No,
KD-006-R2,Solar Refrigerators and Freezers,No,
KD-006-R2,Refrigerators,No,
KD-006-R2,Temperature Monitoring Devices,No,
KD-006-R2,Cold Boxes (6L),No,
KD-006-R2,GioStyle (4L),No,
KD-006-R2,Rush (3L),No,
KD-006-R2,Ice Packs,No,
KD-006-R3,Solar Refrigerators and Freezers,No,
KD-006-R3,Refrigerators,No,
KD-006-R3,Temperature Monitoring Devices,No,
KD-006-R3,Cold Boxes (6L),No,
KD-006-R3,GioStyle (4L),No,
KD-006-R3,Rush (3L),No,
KD-006-R3,Ice Packs,No,
KD-006-R4,Solar Refrigerators and Freezers,No,
KD-006-R4,Refrigerators,No,
KD-006-R4,Temperature Monitoring Devices,No,
KD-006-R4,Cold Boxes (6L),No,
KD-006-R4,GioStyle (4L),No,
KD-006-R4,Rush (3L),No,
KD-006-R4,Ice Packs,No,
KD-006-R5,Solar Refrigerators and Freezers,No,
KD-006-R5,Refrigerators,No,
KD-006-R5,Temperature Monitoring Devices,No,
KD-006-R5,Cold Boxes (6L),No,
KD-006-R5,GioStyle (4L),No,
KD-006-R5,Rush (3L),No,
KD-006-R5,Ice Packs,No,
KD-006-R6,Solar Refrigerators and Freezers,No,
KD-006-R6,Refrigerators,No,
KD-006-R6,Temperature Monitoring Devices,No,
KD-006-R6,Cold Boxes (6L),No,
KD-006-R6,GioStyle (4L),No,
KD-006-R6,Rush (3L),No,
KD-006-R6,Ice Packs,No,
KD-007-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R1,Refrigerators,No,
KD-007-R1,Temperature Monitoring Devices,Yes,Yes
KD-007-R1,Cold Boxes (6L),No,
KD-007-R1,GioStyle (4L),Yes,Yes
KD-007-R1,Rush (3L),No,
KD-007-R1,Ice Packs,Yes,Yes
KD-007-R2,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R2,Refrigerators,No,
KD-007-R2,Temperature Monitoring Devices,Yes,Yes
KD-007-R2,Cold Boxes (6L),No,
KD-007-R2,GioStyle (4L),Yes,Yes
KD-007-R2,Rush (3L),No,
KD-007-R2,Ice Packs,Yes,Yes
KD-007-R3,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R3,Refrigerators,No,
KD-007-R3,Temperature Monitoring Devices,Yes,Yes
KD-007-R3,Cold Boxes (6L),No,
KD-007-R3,GioStyle (4L),Yes,Yes
KD-007-R3,Rush (3L),No,
KD-007-R3,Ice Packs,Yes,Yes
KD-007-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R4,Refrigerators,No,
KD-007-R4,Temperature Monitoring Devices,Yes,Yes
KD-007-R4,Cold Boxes (6L),No,
KD-007-R4,GioStyle (4L),Yes,Yes
KD-007-R4,Rush (3L),No,
KD-007-R4,Ice Packs,Yes,Yes
KD-007-R5,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R5,Refrigerators,No,
KD-007-R5,Temperature Monitoring Devices,Yes,Yes
KD-007-R5,Cold Boxes (6L),No,
KD-007-R5,GioStyle (4L),Yes,Yes
KD-007-R5,Rush (3L),No,
KD-007-R5,Ice Packs,Yes,Yes
KD-007-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-007-R6,Refrigerators,No,
KD-007-R6,Temperature Monitoring Devices,Yes,Yes
KD-007-R6,Cold Boxes (6L),No,
KD-007-R6,GioStyle (4L),Yes,Yes
KD-007-R6,Rush (3L),No,
KD-007-R6,Ice Packs,Yes,Yes
KD-008-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-008-R1,Refrigerators,No,
KD-008-R1,Temperature Monitoring Devices,Yes,Yes
KD-008-R1,Cold Boxes (6L),No,
KD-008-R1,GioStyle (4L),No,
KD-008-R1,Rush (3L),Yes,Yes
KD-008-R1,Ice Packs,No,
KD-008-R2,Solar Refrigerators and Freezers,Yes,No
KD-008-R2,Refrigerators,No,
KD-008-R2,Temperature Monitoring Devices,Yes,Yes
KD-008-R2,Cold Boxes (6L),No,
KD-008-R2,GioStyle (4L),No,
KD-008-R2,Rush (3L),Yes,Yes
KD-008-R2,Ice Packs,No,
KD-008-R3,Solar Refrigerators and Freezers,Yes,No
KD-008-R3,Refrigerators,No,
KD-008-R3,Temperature Monitoring Devices,Yes,Yes
KD-008-R3,Cold Boxes (6L),No,
KD-008-R3,GioStyle (4L),No,
KD-008-R3,Rush (3L),Yes,Yes
KD-008-R3,Ice Packs,No,
KD-008-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-008-R4,Refrigerators,No,
KD-008-R4,Temperature Monitoring Devices,Yes,Yes
KD-008-R4,Cold Boxes (6L),No,
KD-008-R4,GioStyle (4L),No,
KD-008-R4,Rush (3L),Yes,Yes
KD-008-R4,Ice Packs,No,
KD-008-R5,Solar Refrigerators and Freezers,Yes,Yes
KD-008-R5,Refrigerators,No,
KD-008-R5,Temperature Monitoring Devices,Yes,Yes
KD-008-R5,Cold Boxes (6L),No,
KD-008-R5,GioStyle (4L),No,
KD-008-R5,Rush (3L),Yes,Yes
KD-008-R5,Ice Packs,No,
KD-008-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-008-R6,Refrigerators,No,
KD-008-R6,Temperature Monitoring Devices,Yes,Yes
KD-008-R6,Cold Boxes (6L),No,
KD-008-R6,GioStyle (4L),No,
KD-008-R6,Rush (3L),Yes,Yes
KD-008-R6,Ice Packs,No,
KD-009-R1,Solar Refrigerators and Freezers,No,
KD-009-R1,Refrigerators,No,
KD-009-R1,Temperature Monitoring Devices,No,
KD-009-R1,Cold Boxes (6L),No,
KD-009-R1,GioStyle (4L),No,
KD-009-R1,Rush (3L),No,
KD-009-R1,Ice Packs,No,
KD-009-R2,Solar Refrigerators and Freezers,No,
KD-009-R2,Refrigerators,No,
KD-009-R2,Temperature Monitoring Devices,No,
KD-009-R2,Cold Boxes (6L),No,
KD-009-R2,GioStyle (4L),No,
KD-009-R2,Rush (3L),No,
KD-009-R2,Ice Packs,No,
KD-009-R3,Solar Refrigerators and Freezers,No,
KD-009-R3,Refrigerators,No,
KD-009-R3,Temperature Monitoring Devices,No,
KD-009-R3,Cold Boxes (6L),No,
KD-009-R3,GioStyle (4L),No,
KD-009-R3,Rush (3L),No,
KD-009-R3,Ice Packs,No,
KD-009-R4,Solar Refrigerators and Freezers,No,
KD-009-R4,Refrigerators,No,
KD-009-R4,Temperature Monitoring Devices,No,
KD-009-R4,Cold Boxes (6L),No,
KD-009-R4,GioStyle (4L),No,
KD-009-R4,Rush (3L),No,
KD-009-R4,Ice Packs,No,
KD-009-R5,Solar Refrigerators and Freezers,No,
KD-009-R5,Refrigerators,No,
KD-009-R5,Temperature Monitoring Devices,No,
KD-009-R5,Cold Boxes (6L),No,
KD-009-R5,GioStyle (4L),No,
KD-009-R5,Rush (3L),No,
KD-009-R5,Ice Packs,No,
KD-009-R6,Solar Refrigerators and Freezers,No,
KD-009-R6,Refrigerators,No,
KD-009-R6,Temperature Monitoring Devices,No,
KD-009-R6,Cold Boxes (6L),No,
KD-009-R6,GioStyle (4L),No,
KD-009-R6,Rush (3L),No,
KD-009-R6,Ice Packs,No,
KD-010-R1,Solar Refrigerators and Freezers,No,
KD-010-R1,Refrigerators,No,
KD-010-R1,Temperature Monitoring Devices,No,
KD-010-R1,Cold Boxes (6L),No,
KD-010-R1,GioStyle (4L),No,
KD-010-R1,Rush (3L),No,
KD-010-R1,Ice Packs,No,
KD-010-R2,Solar Refrigerators and Freezers,No,
KD-010-R2,Refrigerators,No,
KD-010-R2,Temperature Monitoring Devices,No,
KD-010-R2,Cold Boxes (6L),No,
KD-010-R2,GioStyle (4L),No,
KD-010-R2,Rush (3L),No,
KD-010-R2,Ice Packs,No,
KD-010-R3,Solar Refrigerators and Freezers,No,
KD-010-R3,Refrigerators,No,
KD-010-R3,Temperature Monitoring Devices,No,
KD-010-R3,Cold Boxes (6L),No,
KD-010-R3,GioStyle (4L),No,
KD-010-R3,Rush (3L),No,
KD-010-R3,Ice Packs,No,
KD-010-R4,Solar Refrigerators and Freezers,No,
KD-010-R4,Refrigerators,No,
KD-010-R4,Temperature Monitoring Devices,No,
KD-010-R4,Cold Boxes (6L),No,
KD-010-R4,GioStyle (4L),No,
KD-010-R4,Rush (3L),No,
KD-010-R4,Ice Packs,No,
KD-010-R5,Solar Refrigerators and Freezers,No,
KD-010-R5,Refrigerators,No,
KD-010-R5,Temperature Monitoring Devices,No,
KD-010-R5,Cold Boxes (6L),No,
KD-010-R5,GioStyle (4L),No,
KD-010-R5,Rush (3L),No,
KD-010-R5,Ice Packs,No,
KD-010-R6,Solar Refrigerators and Freezers,No,
KD-010-R6,Refrigerators,No,
KD-010-R6,Temperature Monitoring Devices,No,
KD-010-R6,Cold Boxes (6L),No,
KD-010-R6,GioStyle (4L),No,
KD-010-R6,Rush (3L),No,
KD-010-R6,Ice Packs,No,
KD-011-R1,Solar Refrigerators and Freezers,No,
KD-011-R1,Refrigerators,No,
KD-011-R1,Temperature Monitoring Devices,Yes,Yes
KD-011-R1,Cold Boxes (6L),Yes,Yes
KD-011-R1,GioStyle (4L),Yes,No
KD-011-R1,Rush (3L),No,
KD-011-R1,Ice Packs,Yes,Yes
KD-011-R2,Solar Refrigerators and Freezers,No,
KD-011-R2,Refrigerators,No,
KD-011-R2,Temperature Monitoring Devices,Yes,No
KD-011-R2,Cold Boxes (6L),Yes,Yes
KD-011-R2,GioStyle (4L),Yes,Yes
KD-011-R2,Rush (3L),No,
KD-011-R2,Ice Packs,Yes,Yes
KD-011-R3,Solar Refrigerators and Freezers,No,
KD-011-R3,Refrigerators,No,
KD-011-R3,Temperature Monitoring Devices,Yes,Yes
KD-011-R3,Cold Boxes (6L),Yes,Yes
KD-011-R3,GioStyle (4L),Yes,Yes
KD-011-R3,Rush (3L),No,
KD-011-R3,Ice Packs,Yes,Yes
KD-011-R4,Solar Refrigerators and Freezers,No,
KD-011-R4,Refrigerators,No,
KD-011-R4,Temperature Monitoring Devices,Yes,Yes
KD-011-R4,Cold Boxes (6L),Yes,Yes
KD-011-R4,GioStyle (4L),Yes,Yes
KD-011-R4,Rush (3L),No,
KD-011-R4,Ice Packs,Yes,Yes
KD-011-R5,Solar Refrigerators and Freezers,No,
KD-011-R5,Refrigerators,No,
KD-011-R5,Temperature Monitoring Devices,Yes,No
KD-011-R5,Cold Boxes (6L),Yes,Yes
KD-011-R5,GioStyle (4L),Yes,Yes
KD-011-R5,Rush (3L),No,
KD-011-R5,Ice Packs,Yes,Yes
KD-011-R6,Solar Refrigerators and Freezers,No,
KD-011-R6,Refrigerators,No,
KD-011-R6,Temperature Monitoring Devices,Yes,Yes
KD-011-R6,Cold Boxes (6L),Yes,No
KD-011-R6,GioStyle (4L),Yes,Yes
KD-011-R6,Rush (3L),No,
KD-011-R6,Ice Packs,Yes,Yes
KD-012-R1,Solar Refrigerators and Freezers,Yes,Yes
KD-012-R1,Refrigerators,No,
KD-012-R1,Temperature Monitoring Devices,Yes,Yes
KD-012-R1,Cold Boxes (6L),Yes,Yes
KD-012-R1,GioStyle (4L),Yes,Yes
KD-012-R1,Rush (3L),No,
KD-012-R1,Ice Packs,Yes,Yes
KD-012-R2,Solar Refrigerators and Freezers,Yes,Yes
KD-012-R2,Refrigerators,No,
KD-012-R2,Temperature Monitoring Devices,Yes,Yes
KD-012-R2,Cold Boxes (6L),Yes,Yes
KD-012-R2,GioStyle (4L),Yes,Yes
KD-012-R2,Rush (3L),No,
KD-012-R2,Ice Packs,Yes,Yes
KD-012-R3,Solar Refrigerators and Freezers,Yes,No
KD-012-R3,Refrigerators,No,
KD-012-R3,Temperature Monitoring Devices,Yes,No
KD-012-R3,Cold Boxes (6L),Yes,Yes
KD-012-R3,GioStyle (4L),Yes,Yes
KD-012-R3,Rush (3L),No,
KD-012-R3,Ice Packs,Yes,Yes
KD-012-R4,Solar Refrigerators and Freezers,Yes,Yes
KD-012-R4,Refrigerators,No,
KD-012-R4,Temperature Monitoring Devices,Yes,Yes
KD-012-R4,Cold Boxes (6L),Yes,Yes
KD-012-R4,GioStyle (4L),Yes,Yes
KD-012-R4,Rush (3L),No,
KD-012-R4,Ice Packs,Yes,Yes
KD-012-R5,Solar Refrigerators and Freezers,Yes,Yes
KD-012-R5,Refrigerators,No,
KD-012-R5,Temperature Monitoring Devices,Yes,No
KD-012-R5,Cold Boxes (6L),Yes,Yes
KD-012-R5,GioStyle (4L),Yes,Yes
KD-012-R5,Rush (3L),No,
KD-012-R5,Ice Packs,Yes,No
KD-012-R6,Solar Refrigerators and Freezers,Yes,Yes
KD-012-R6,Refrigerators,No,
KD-012-R6,Temperature Monitoring Devices,Yes,Yes
KD-012-R6,Cold Boxes (6L),Yes,Yes
KD-012-R6,GioStyle (4L),Yes,Yes
KD-012-R6,Rush (3L),No,
KD-012-R6,Ice Packs,Yes,No
KD-013-R1,Solar Refrigerators and Freezers,No,
KD-013-R1,Refrigerators,No,
KD-013-R1,Temperature Monitoring Devices,No,
KD-013-R1,Cold Boxes (6L),No,
KD-013-R1,GioStyle (4L),No,
KD-013-R1,Rush (3L),No,
KD-013-R1,Ice Packs,No,
KD-013-R2,Solar Refrigerators and Freezers,No,
KD-013-R2,Refrigerators,No,
KD-013-R2,Temperature Monitoring Devices,No,
KD-013-R2,Cold Boxes (6L),No,
KD-013-R2,GioStyle (4L),No,
KD-013-R2,Rush (3L),No,
KD-013-R2,Ice Packs,No,
KD-013-R3,Solar Refrigerators and Freezers,No,
KD-013-R3,Refrigerators,No,
KD-013-R3,Temperature Monitoring Devices,No,
KD-013-R3,Cold Boxes (6L),No,
KD-013-R3,GioStyle (4L),No,
KD-013-R3,Rush (3L),No,
KD-013-R3,Ice Packs,No,
KD-013-R4,Solar Refrigerators and Freezers,No,
KD-013-R4,Refrigerators,No,
KD-013-R4,Temperature Monitoring Devices,No,
KD-013-R4,Cold Boxes (6L),No,
KD-013-R4,GioStyle (4L),No,
KD-013-R4,Rush (3L),No,
KD-013-R4,Ice Packs,No,
KD-013-R5,Solar Refrigerators and Freezers,No,
KD-013-R5,Refrigerators,No,
KD-013-R5,Temperature Monitoring Devices,No,
KD-013-R5,Cold Boxes (6L),No,
KD-013-R5,GioStyle (4L),No,
KD-013-R5,Rush (3L),No,
KD-013-R5,Ice Packs,No,
KD-013-R6,Solar Refrigerators and Freezers,No,
KD-013-R6,Refrigerators,No,
KD-013-R6,Temperature Monitoring Devices,No,
KD-013-R6,Cold Boxes (6L),No,
KD-013-R6,GioStyle (4L),No,
KD-013-R6,Rush (3L),No,
KD-013-R6,Ice Packs,No,
KD-014-R1,Solar Refrigerators and Freezers,No,
KD-014-R1,Refrigerators,No,
KD-014-R1,Temperature Monitoring Devices,Yes,Yes
KD-014-R1,Cold Boxes (6L),Yes,Yes
KD-014-R1,GioStyle (4L),Yes,Yes
KD-014-R1,Rush (3L),No,
KD-014-R1,Ice Packs,Yes,Yes
KD-014-R2,Solar Refrigerators and Freezers,No,
KD-014-R2,Refrigerators,No,
KD-014-R2,Temperature Monitoring Devices,Yes,Yes
KD-014-R2,Cold Boxes (6L),Yes,Yes
KD-014-R2,GioStyle (4L),Yes,No
KD-014-R2,Rush (3L),No,
KD-014-R2,Ice Packs,Yes,Yes
KD-014-R3,Solar Refrigerators and Freezers,No,
KD-014-R3,Refrigerators,No,
KD-014-R3,Temperature Monitoring Devices,Yes,Yes
KD-014-R3,Cold Boxes (6L),Yes,Yes
KD-014-R3,GioStyle (4L),Yes,No
KD-014-R3,Rush (3L),No,
KD-014-R3,Ice Packs,Yes,Yes
KD-014-R4,Solar Refrigerators and Freezers,No,
KD-014-R4,Refrigerators,No,
KD-014-R4,Temperature Monitoring Devices,Yes,Yes
KD-014-R4,Cold Boxes (6L),Yes,Yes
KD-014-R4,GioStyle (4L),Yes,No
KD-014-R4,Rush (3L),No,
KD-014-R4,Ice Packs,Yes,Yes
KD-014-R5,Solar Refrigerators and Freezers,No,
KD-014-R5,Refrigerators,No,
KD-014-R5,Temperature Monitoring Devices,Yes,Yes
KD-014-R5,Cold Boxes (6L),Yes,No
KD-014-R5,GioStyle (4L),Yes,Yes
KD-014-R5,Rush (3L),No,
KD-014-R5,Ice Packs,Yes,Yes
KD-014-R6,Solar Refrigerators and Freezers,No,
KD-014-R6,Refrigerators,No,
KD-014-R6,Temperature Monitoring Devices,Yes,Yes
KD-014-R6,Cold Boxes (6L),Yes,Yes
KD-014-R6,GioStyle (4L),Yes,No
KD-014-R6,Rush (3L),No,
KD-014-R6,Ice Packs,Yes,Yes
KD-015-R1,Solar Refrigerators and Freezers,Yes,No
KD-015-R1,Refrigerators,No,
KD-015-R1,Temperature Monitoring Devices,Yes,Yes
KD-015-R1,Cold Boxes (6L),Yes,Yes
KD-015-R1,GioStyle (4L),Yes,Yes
KD-015-R1,Rush (3L),Yes,Yes
KD-015-R1,Ice Packs,Yes,Yes
KD-015-R2,Solar Refrigerators and Freezers,Yes,Yes
KD-015-R2,Refrigerators,No,
KD-015-R2,Temperature Monitoring Devices,Yes,Yes
KD-015-R2,Cold Boxes (6L),Yes,No
KD-015-R2,GioStyle (4L),Yes,No
KD-015-R2,Rush (3L),Yes,Yes
KD-015-R2,Ice Packs,Yes,Yes
KD-015-R3,Solar Refrigerators and Freezers,Yes,Yes
KD-015-R3,Refrigerators,No,
KD-015-R3,Temperature Monitoring Devices,Yes,Yes
KD-015-R3,Cold Boxes (6L),Yes,Yes
