visit_id,cadre,total_staff,permanent,adhoc_a,adhoc_b,volunteer,scheduled_morning,scheduled_afternoon,scheduled_evening,scheduled_off,scheduled_leave,present_today,permanent_present_today,permanent_absent_unscheduled
KD-001-R3,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-001-R3,Pharmacy Technician,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R3,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R4,Medical Officer,2,1,1,0,0,1,0,0,0,0,0,0,1
KD-001-R4,Nurse/Midwife,5,3,1,0,1,2,0,0,1,0,3,2,0
KD-001-R4,CHO,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-001-R4,CHEW,7,4,1,0,2,2,1,1,0,0,6,3,1
KD-001-R4,JCHEW,5,4,0,1,0,2,1,1,0,0,3,2,2
KD-001-R4,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R4,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-001-R4,Pharmacy Technician,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R4,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R5,Medical Officer,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-001-R5,Nurse/Midwife,5,3,1,0,1,2,0,0,1,0,4,2,0
KD-001-R5,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R5,CHEW,7,4,1,0,2,2,1,1,0,0,6,3,1
KD-001-R5,JCHEW,5,4,0,1,0,2,0,0,1,1,1,1,1
KD-001-R5,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R5,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-001-R5,Pharmacy Technician,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R5,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R6,Medical Officer,2,1,1,0,0,1,0,0,0,0,1,1,0
KD-001-R6,Nurse/Midwife,5,3,1,0,1,2,0,0,1,0,1,1,1
KD-001-R6,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-001-R6,CHEW,7,4,1,0,2,2,0,1,0,1,6,3,0
KD-001-R6,JCHEW,5,4,0,1,0,2,0,1,1,0,4,3,0
KD-001-R6,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-001-R6,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-001-R6,Pharmacy Technician,1,1,0,0,0,0,0,0,1,0,0,0,0
KD-001-R6,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R1,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R1,Nurse/Midwife,4,2,1,1,0,2,0,0,0,0,4,2,0
KD-002-R1,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R1,CHEW,3,2,1,0,0,2,0,0,0,0,2,1,1
KD-002-R1,JCHEW,7,5,2,0,0,2,0,1,2,0,5,3,0
KD-002-R1,Medical Lab Technician,2,2,0,0,0,1,0,0,1,0,0,0,1
KD-002-R1,Medical Records Officer,2,1,0,0,1,0,0,0,0,1,1,0,0
KD-002-R1,Pharmacy Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R1,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R2,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R2,Nurse/Midwife,4,2,1,1,0,2,0,0,0,0,3,1,1
KD-002-R2,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R2,CHEW,3,2,1,0,0,1,0,0,0,1,1,0,1
KD-002-R2,JCHEW,7,5,2,0,0,2,1,1,0,1,5,3,1
KD-002-R2,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R2,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-002-R2,Pharmacy Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R2,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R3,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R3,Nurse/Midwife,4,2,1,1,0,2,0,0,0,0,2,1,1
KD-002-R3,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R3,CHEW,3,2,1,0,0,1,0,0,1,0,2,1,0
KD-002-R3,JCHEW,7,5,2,0,0,2,0,1,2,0,5,3,0
KD-002-R3,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R3,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-002-R3,Pharmacy Technician,2,2,0,0,0,2,0,0,0,0,1,1,1
KD-002-R3,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R4,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R4,Nurse/Midwife,4,2,1,1,0,2,0,0,0,0,3,2,0
KD-002-R4,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R4,CHEW,3,2,1,0,0,2,0,0,0,0,3,2,0
KD-002-R4,JCHEW,7,5,2,0,0,3,1,1,0,0,6,5,0
KD-002-R4,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,1,1,1
KD-002-R4,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,0,1
KD-002-R4,Pharmacy Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R4,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R5,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R5,Nurse/Midwife,4,2,1,1,0,0,0,0,1,1,1,0,0
KD-002-R5,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R5,CHEW,3,2,1,0,0,1,0,0,0,1,1,0,1
KD-002-R5,JCHEW,7,5,2,0,0,3,1,1,0,0,7,5,0
KD-002-R5,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,1,1,1
KD-002-R5,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,0,1
KD-002-R5,Pharmacy Technician,2,2,0,0,0,1,0,0,0,1,0,0,1
KD-002-R5,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R6,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R6,Nurse/Midwife,4,2,1,1,0,2,0,0,0,0,2,1,1
KD-002-R6,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-002-R6,CHEW,3,2,1,0,0,2,0,0,0,0,3,2,0
KD-002-R6,JCHEW,7,5,2,0,0,2,0,1,1,1,4,3,0
KD-002-R6,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,1,1,1
KD-002-R6,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-002-R6,Pharmacy Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-002-R6,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R1,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R1,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-003-R1,CHO,3,3,0,0,0,2,0,0,1,0,2,2,0
KD-003-R1,CHEW,8,8,0,0,0,4,2,1,1,0,7,7,0
KD-003-R1,JCHEW,8,4,1,1,2,2,0,1,0,1,5,3,0
KD-003-R1,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R1,Medical Records Officer,4,2,0,0,2,1,0,0,1,0,3,1,0
KD-003-R1,Pharmacy Technician,7,3,0,4,0,2,0,1,0,0,7,3,0
KD-003-R1,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-003-R2,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R2,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-003-R2,CHO,3,3,0,0,0,2,0,1,0,0,3,3,0
KD-003-R2,CHEW,8,8,0,0,0,4,2,2,0,0,7,7,1
KD-003-R2,JCHEW,8,4,1,1,2,2,0,1,1,0,6,3,0
KD-003-R2,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R2,Medical Records Officer,4,2,0,0,2,1,0,0,1,0,2,1,0
KD-003-R2,Pharmacy Technician,7,3,0,4,0,2,0,0,1,0,6,2,0
KD-003-R2,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-003-R3,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R3,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-003-R3,CHO,3,3,0,0,0,2,0,1,0,0,3,3,0
KD-003-R3,CHEW,8,8,0,0,0,4,2,1,0,1,7,7,0
KD-003-R3,JCHEW,8,4,1,1,2,2,1,1,0,0,8,4,0
KD-003-R3,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R3,Medical Records Officer,4,2,0,0,2,0,0,0,1,1,2,0,0
KD-003-R3,Pharmacy Technician,7,3,0,4,0,2,0,1,0,0,4,1,2
KD-003-R3,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-003-R4,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R4,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,1,0,1
KD-003-R4,CHO,3,3,0,0,0,1,0,0,2,0,1,1,0
KD-003-R4,CHEW,8,8,0,0,0,4,2,2,0,0,7,7,1
KD-003-R4,JCHEW,8,4,1,1,2,2,1,1,0,0,5,2,2
KD-003-R4,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R4,Medical Records Officer,4,2,0,0,2,1,0,0,1,0,2,1,0
KD-003-R4,Pharmacy Technician,7,3,0,4,0,2,0,1,0,0,7,3,0
KD-003-R4,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-003-R5,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R5,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-003-R5,CHO,3,3,0,0,0,2,0,1,0,0,2,2,1
KD-003-R5,CHEW,8,8,0,0,0,3,1,1,3,0,5,5,0
KD-003-R5,JCHEW,8,4,1,1,2,2,1,1,0,0,7,4,0
KD-003-R5,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R5,Medical Records Officer,4,2,0,0,2,2,0,0,0,0,4,2,0
KD-003-R5,Pharmacy Technician,7,3,0,4,0,2,0,1,0,0,5,2,1
KD-003-R5,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-003-R6,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-003-R6,Nurse/Midwife,2,1,1,0,0,1,0,0,0,0,2,1,0
KD-003-R6,CHO,3,3,0,0,0,2,0,1,0,0,3,3,0
KD-003-R6,CHEW,8,8,0,0,0,4,2,1,1,0,6,6,1
KD-003-R6,JCHEW,8,4,1,1,2,2,1,1,0,0,6,2,2
KD-003-R6,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-003-R6,Medical Records Officer,4,2,0,0,2,2,0,0,0,0,2,0,2
KD-003-R6,Pharmacy Technician,7,3,0,4,0,2,0,0,0,1,4,1,1
KD-003-R6,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-004-R1,Medical Officer,6,5,0,0,1,2,0,1,1,1,4,3,0
KD-004-R1,Nurse/Midwife,31,24,7,0,0,9,5,3,7,0,21,15,2
KD-004-R1,CHO,6,5,1,0,0,2,1,1,0,1,5,4,0
KD-004-R1,CHEW,8,6,1,0,1,3,1,2,0,0,7,5,1
KD-004-R1,JCHEW,11,7,2,0,2,4,2,1,0,0,9,6,1
KD-004-R1,Medical Lab Technician,7,7,0,0,0,3,1,1,2,0,3,3,2
KD-004-R1,Medical Records Officer,3,2,0,0,1,1,0,0,1,0,2,1,0
KD-004-R1,Pharmacy Technician,7,6,1,0,0,3,1,2,0,0,6,5,1
KD-004-R1,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-004-R2,Medical Officer,6,5,0,0,1,2,1,1,1,0,3,3,1
KD-004-R2,Nurse/Midwife,31,24,7,0,0,12,6,5,1,0,16,11,12
KD-004-R2,CHO,6,5,1,0,0,2,1,1,0,1,3,2,2
KD-004-R2,CHEW,8,6,1,0,1,2,1,1,2,0,4,3,1
KD-004-R2,JCHEW,11,7,2,0,2,2,1,1,3,0,5,3,1
KD-004-R2,Medical Lab Technician,7,7,0,0,0,3,1,2,0,1,2,2,4
KD-004-R2,Medical Records Officer,3,2,0,0,1,2,0,0,0,0,3,2,0
KD-004-R2,Pharmacy Technician,7,6,1,0,0,3,1,2,0,0,5,4,2
KD-004-R2,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-004-R3,Medical Officer,6,5,0,0,1,2,1,1,0,1,4,3,1
KD-004-R3,Nurse/Midwife,31,24,7,0,0,10,6,4,3,1,23,17,3
KD-004-R3,CHO,6,5,1,0,0,3,1,1,0,0,4,3,2
KD-004-R3,CHEW,8,6,1,0,1,3,1,1,0,1,6,5,0
KD-004-R3,JCHEW,11,7,2,0,2,3,1,2,0,1,7,3,3
KD-004-R3,Medical Lab Technician,7,7,0,0,0,3,1,1,0,2,5,5,0
KD-004-R3,Medical Records Officer,3,2,0,0,1,2,0,0,0,0,3,2,0
KD-004-R3,Pharmacy Technician,7,6,1,0,0,3,1,1,1,0,6,5,0
KD-004-R3,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-004-R4,Medical Officer,6,5,0,0,1,2,0,1,1,1,3,2,1
KD-004-R4,Nurse/Midwife,31,24,7,0,0,9,5,4,4,2,21,15,3
KD-004-R4,CHO,6,5,1,0,0,3,1,1,0,0,4,3,2
KD-004-R4,CHEW,8,6,1,0,1,3,1,1,1,0,2,1,4
KD-004-R4,JCHEW,11,7,2,0,2,3,1,1,1,1,8,5,0
KD-004-R4,Medical Lab Technician,7,7,0,0,0,3,1,2,0,1,3,3,3
KD-004-R4,Medical Records Officer,3,2,0,0,1,2,0,0,0,0,2,1,1
KD-004-R4,Pharmacy Technician,7,6,1,0,0,2,1,1,1,1,4,3,1
KD-004-R4,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-004-R5,Medical Officer,6,5,0,0,1,3,1,1,0,0,4,3,2
KD-004-R5,Nurse/Midwife,31,24,7,0,0,10,6,4,4,0,21,15,5
KD-004-R5,CHO,6,5,1,0,0,2,0,1,1,1,3,2,1
KD-004-R5,CHEW,8,6,1,0,1,3,1,1,0,1,5,4,1
KD-004-R5,JCHEW,11,7,2,0,2,3,1,1,1,1,7,5,0
KD-004-R5,Medical Lab Technician,7,7,0,0,0,3,1,2,1,0,6,6,0
KD-004-R5,Medical Records Officer,3,2,0,0,1,1,0,0,0,1,2,1,0
KD-004-R5,Pharmacy Technician,7,6,1,0,0,3,1,1,1,0,6,5,0
KD-004-R5,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-004-R6,Medical Officer,6,5,0,0,1,2,1,1,1,0,4,4,0
KD-004-R6,Nurse/Midwife,31,24,7,0,0,10,6,4,3,1,24,18,2
KD-004-R6,CHO,6,5,1,0,0,3,1,1,0,0,6,5,0
KD-004-R6,CHEW,8,6,1,0,1,3,1,2,0,0,7,6,0
KD-004-R6,JCHEW,11,7,2,0,2,3,1,2,0,1,7,6,0
KD-004-R6,Medical Lab Technician,7,7,0,0,0,3,1,1,2,0,5,5,0
KD-004-R6,Medical Records Officer,3,2,0,0,1,2,0,0,0,0,3,2,0
KD-004-R6,Pharmacy Technician,7,6,1,0,0,3,1,1,1,0,5,4,1
KD-004-R6,Environmental Health Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R1,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R1,Nurse/Midwife,4,3,1,0,0,3,0,0,0,0,4,3,0
KD-005-R1,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R1,CHEW,9,6,1,2,0,6,0,0,0,0,8,6,0
KD-005-R1,JCHEW,8,6,1,0,1,6,0,0,0,0,7,6,0
KD-005-R1,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-005-R1,Medical Records Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R1,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,1,0,1
KD-005-R1,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R2,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R2,Nurse/Midwife,4,3,1,0,0,3,0,0,0,0,3,2,1
KD-005-R2,CHO,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R2,CHEW,9,6,1,2,0,6,0,0,0,0,7,4,2
KD-005-R2,JCHEW,8,6,1,0,1,6,0,0,0,0,4,3,3
KD-005-R2,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-005-R2,Medical Records Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R2,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-005-R2,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R3,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R3,Nurse/Midwife,4,3,1,0,0,2,0,0,0,1,1,1,1
KD-005-R3,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R3,CHEW,9,6,1,2,0,6,0,0,0,0,6,5,1
KD-005-R3,JCHEW,8,6,1,0,1,4,0,0,1,1,5,3,1
KD-005-R3,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,0,0,2
KD-005-R3,Medical Records Officer,1,1,0,0,0,0,0,0,0,1,0,0,0
KD-005-R3,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-005-R3,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R4,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R4,Nurse/Midwife,4,3,1,0,0,2,0,0,0,1,0,0,2
KD-005-R4,CHO,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R4,CHEW,9,6,1,2,0,6,0,0,0,0,7,5,1
KD-005-R4,JCHEW,8,6,1,0,1,6,0,0,0,0,2,1,5
KD-005-R4,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-005-R4,Medical Records Officer,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R4,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-005-R4,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R5,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R5,Nurse/Midwife,4,3,1,0,0,2,0,0,0,1,3,2,0
KD-005-R5,CHO,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R5,CHEW,9,6,1,2,0,6,0,0,0,0,5,4,2
KD-005-R5,JCHEW,8,6,1,0,1,5,0,0,1,0,6,4,1
KD-005-R5,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-005-R5,Medical Records Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R5,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,1,0,1
KD-005-R5,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-005-R6,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-005-R6,Nurse/Midwife,4,3,1,0,0,2,0,0,0,1,0,0,2
KD-005-R6,CHO,1,1,0,0,0,1,0,0,0,0,0,0,1
KD-005-R6,CHEW,9,6,1,2,0,4,0,0,1,1,4,2,2
KD-005-R6,JCHEW,8,6,1,0,1,5,0,0,0,1,2,2,3
KD-005-R6,Medical Lab Technician,2,2,0,0,0,2,0,0,0,0,2,2,0
KD-005-R6,Medical Records Officer,1,1,0,0,0,0,0,0,0,1,0,0,0
KD-005-R6,Pharmacy Technician,2,1,0,0,1,1,0,0,0,0,0,0,1
KD-005-R6,Environmental Health Officer,1,1,0,0,0,1,0,0,0,0,1,1,0
KD-006-R1,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R1,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,1,1,1
KD-006-R1,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R1,CHEW,7,4,1,1,1,4,0,0,0,0,2,1,3
KD-006-R1,JCHEW,5,2,1,0,2,2,0,0,0,0,1,0,2
KD-006-R1,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R1,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-006-R1,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R1,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,1,0,0
KD-006-R2,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R2,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,2,2,0
KD-006-R2,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R2,CHEW,7,4,1,1,1,3,0,0,1,0,4,3,0
KD-006-R2,JCHEW,5,2,1,0,2,2,0,0,0,0,5,2,0
KD-006-R2,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R2,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,1,1,0
KD-006-R2,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R2,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,0,0,0
KD-006-R3,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R3,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,3,1,1
KD-006-R3,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R3,CHEW,7,4,1,1,1,4,0,0,0,0,4,1,3
KD-006-R3,JCHEW,5,2,1,0,2,2,0,0,0,0,4,2,0
KD-006-R3,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R3,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-006-R3,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R3,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,0,0,0
KD-006-R4,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R4,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,1,1,1
KD-006-R4,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R4,CHEW,7,4,1,1,1,4,0,0,0,0,6,4,0
KD-006-R4,JCHEW,5,2,1,0,2,2,0,0,0,0,3,1,1
KD-006-R4,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R4,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-006-R4,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R4,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,1,0,0
KD-006-R5,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R5,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,3,1,1
KD-006-R5,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R5,CHEW,7,4,1,1,1,4,0,0,0,0,1,1,3
KD-006-R5,JCHEW,5,2,1,0,2,1,0,0,0,1,2,0,1
KD-006-R5,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R5,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,0,0,1
KD-006-R5,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R5,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,0,0,0
KD-006-R6,Medical Officer,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R6,Nurse/Midwife,5,2,2,1,0,2,0,0,0,0,4,2,0
KD-006-R6,CHO,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R6,CHEW,7,4,1,1,1,2,0,0,1,1,3,2,0
KD-006-R6,JCHEW,5,2,1,0,2,2,0,0,0,0,4,2,0
KD-006-R6,Medical Lab Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R6,Medical Records Officer,2,1,0,0,1,1,0,0,0,0,2,1,0
KD-006-R6,Pharmacy Technician,0,0,0,0,0,0,0,0,0,0,0,0,0
KD-006-R6,Environmental Health Officer,1,0,0,0,1,0,0,0,0,0,1,0,0
KD-007-R1,Medical Officer,8,8,0,0,0,3,1,1,2,1,2,2,3
KD-007-R1,Nurse/Midwife,28,22,6,0,0,9,5,3,5,0,20,14,3
KD-007-R1,CHO,6,4,2,0,0,2,1,1,0,0,5,4,0
KD-007-R1,CHEW,8,7,1,0,0,3,1,1,2,0,6,5,0
KD-007-R1,JCHEW,7,5,2,0,0,2,1,1,1,0,6,4,0
