visit_id,vaccine,in_stock,opening_balance_doses,doses_received,current_balance_doses,doses_used,supplier,physically_verified,most_dispensed_this_week,reason_most_dispensed
KD-001-R3,MR,No,12,0,0,12,LGA,No,Yes,High birth cohort this week
KD-001-R3,MEN A,Yes,0,20,10,10,LGA,Yes,No,
KD-001-R3,MCV,Yes,24,19,30,13,LGA,Yes,No,
KD-001-R3,OPV,Yes,207,0,166,41,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R3,YF,Yes,23,0,6,17,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R3,PENTA,Yes,55,0,20,35,LGA,Yes,No,
KD-001-R3,ROTA,No,26,0,0,26,LGA,No,Yes,Scheduled routine immunization session
KD-001-R3,PCV,Yes,82,0,34,48,Zipline,Yes,Yes,Scheduled routine immunization session
KD-001-R4,BCG,Yes,0,29,7,22,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R4,HPV,No,8,0,0,8,LGA,No,No,
KD-001-R4,IPV,Yes,0,38,15,23,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-001-R4,MR,Yes,0,29,10,19,LGA,No,Yes,Outreach session held this week
KD-001-R4,MEN A,No,10,0,0,10,KDHSMA,No,No,
KD-001-R4,MCV,Yes,30,23,43,10,LGA,Yes,No,
KD-001-R4,OPV,Yes,166,0,115,51,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R4,YF,Yes,6,21,14,13,LGA,Yes,No,
KD-001-R4,PENTA,Yes,20,77,49,48,LGA,Yes,Yes,School-based session (HPV)
KD-001-R4,ROTA,No,0,0,0,0,LGA,No,Yes,School-based session (HPV)
KD-001-R4,PCV,Yes,34,72,69,37,Zipline,Yes,No,
KD-001-R5,BCG,No,7,0,0,7,LGA,No,Yes,Scheduled routine immunization session
KD-001-R5,HPV,No,0,0,0,0,LGA,No,Yes,School-based session (HPV)
KD-001-R5,IPV,No,15,0,0,15,LGA,No,No,
KD-001-R5,MR,No,10,0,0,10,KDHSMA,No,No,
KD-001-R5,MEN A,Yes,0,16,7,9,KDHSMA,No,No,
KD-001-R5,MCV,Yes,43,19,46,16,LGA,Yes,Yes,High birth cohort this week
KD-001-R5,OPV,Yes,115,83,145,53,LGA,Yes,Yes,School-based session (HPV)
KD-001-R5,YF,No,14,0,0,14,LGA,No,Yes,Scheduled routine immunization session
KD-001-R5,PENTA,No,49,0,0,49,LGA,No,Yes,High birth cohort this week
KD-001-R5,ROTA,Yes,0,42,5,37,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R5,PCV,Yes,69,0,21,48,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-001-R6,BCG,Yes,0,37,22,15,LGA,Yes,No,
KD-001-R6,HPV,Yes,0,18,2,16,LGA,Yes,Yes,School-based session (HPV)
KD-001-R6,IPV,No,0,0,0,0,LGA,No,Yes,Scheduled routine immunization session
KD-001-R6,MR,No,0,0,0,0,LGA,No,Yes,School-based session (HPV)
KD-001-R6,MEN A,Yes,7,25,21,11,Zipline,Yes,No,
KD-001-R6,MCV,Yes,46,0,29,17,LGA,Yes,Yes,Scheduled routine immunization session
KD-001-R6,OPV,Yes,145,0,102,43,Zipline,Yes,Yes,Catch-up campaign
KD-001-R6,YF,No,0,0,0,0,Zipline,No,Yes,Scheduled routine immunization session
KD-001-R6,PENTA,No,0,0,0,0,LGA,No,Yes,Outreach session held this week
KD-001-R6,ROTA,No,5,0,0,5,LGA,No,Yes,Outreach session held this week
KD-001-R6,PCV,Yes,21,76,54,43,Zipline,Yes,Yes,Scheduled routine immunization session
KD-002-R1,BCG,Yes,36,41,60,17,LGA,Yes,No,
KD-002-R1,HPV,Yes,27,0,16,11,LGA,Yes,No,
KD-002-R1,IPV,Yes,53,0,32,21,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R1,MR,Yes,0,20,12,8,KDHSMA,No,No,
KD-002-R1,MEN A,Yes,58,0,45,13,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R1,MCV,Yes,33,0,14,19,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R1,OPV,Yes,160,0,111,49,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R1,YF,No,13,0,0,13,KDHSMA,No,Yes,School-based session (HPV)
KD-002-R1,PENTA,Yes,1,75,33,43,LGA,Yes,Yes,School-based session (HPV)
KD-002-R1,ROTA,Yes,66,39,74,31,LGA,Yes,Yes,Catch-up campaign
KD-002-R1,PCV,Yes,1,86,35,52,LGA,Yes,Yes,High birth cohort this week
KD-002-R2,BCG,Yes,60,34,74,20,Zipline,Yes,Yes,Scheduled routine immunization session
KD-002-R2,HPV,Yes,16,16,21,11,LGA,Yes,No,
KD-002-R2,IPV,Yes,32,39,43,28,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R2,MR,No,12,0,0,12,LGA,No,No,
KD-002-R2,MEN A,Yes,45,0,33,12,Zipline,Yes,Yes,Catch-up campaign
KD-002-R2,MCV,Yes,14,22,18,18,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R2,OPV,Yes,111,0,67,44,KDHSMA,Yes,Yes,Outreach session held this week
KD-002-R2,YF,No,0,0,0,0,LGA,No,Yes,High birth cohort this week
KD-002-R2,PENTA,No,33,0,0,33,LGA,No,Yes,Scheduled routine immunization session
KD-002-R2,ROTA,Yes,74,46,91,29,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R2,PCV,Yes,35,74,65,44,LGA,Yes,Yes,Outreach session held this week
KD-002-R3,BCG,Yes,74,30,83,21,Zipline,No,Yes,Scheduled routine immunization session
KD-002-R3,HPV,Yes,21,21,28,14,LGA,Yes,Yes,School-based session (HPV)
KD-002-R3,IPV,Yes,43,0,22,21,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R3,MR,Yes,0,25,6,19,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R3,MEN A,Yes,33,17,33,17,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R3,MCV,Yes,18,0,3,15,LGA,Yes,Yes,High birth cohort this week
KD-002-R3,OPV,Yes,67,61,90,38,LGA,Yes,No,
KD-002-R3,YF,Yes,0,25,16,9,LGA,Yes,No,
KD-002-R3,PENTA,Yes,0,73,29,44,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R3,ROTA,Yes,91,53,118,26,KDHSMA,Yes,No,
KD-002-R3,PCV,Yes,65,78,106,37,LGA,Yes,No,
KD-002-R4,BCG,Yes,83,27,85,25,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R4,HPV,Yes,28,17,33,12,LGA,No,Yes,Catch-up campaign
KD-002-R4,IPV,Yes,22,38,45,15,Zipline,Yes,No,
KD-002-R4,MR,Yes,6,32,23,15,Zipline,Yes,Yes,Outreach session held this week
KD-002-R4,MEN A,Yes,33,0,24,9,LGA,No,No,
KD-002-R4,MCV,Yes,3,19,6,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R4,OPV,Yes,90,59,122,27,KDHSMA,Yes,No,
KD-002-R4,YF,Yes,16,28,29,15,LGA,Yes,Yes,Outreach session held this week
KD-002-R4,PENTA,Yes,29,61,38,52,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R4,ROTA,Yes,118,49,140,27,LGA,Yes,No,
KD-002-R4,PCV,Yes,106,0,55,51,Zipline,Yes,Yes,Scheduled routine immunization session
KD-002-R5,BCG,Yes,85,26,89,22,Zipline,Yes,Yes,Scheduled routine immunization session
KD-002-R5,HPV,Yes,33,20,40,13,KDHSMA,Yes,Yes,School-based session (HPV)
KD-002-R5,IPV,Yes,45,0,29,16,Zipline,Yes,No,
KD-002-R5,MR,Yes,23,22,33,12,LGA,Yes,No,
KD-002-R5,MEN A,Yes,24,26,42,8,LGA,Yes,No,
KD-002-R5,MCV,Yes,6,15,7,14,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-002-R5,OPV,Yes,122,0,75,47,Zipline,Yes,Yes,Outreach session held this week
KD-002-R5,YF,Yes,29,22,42,9,LGA,Yes,No,
KD-002-R5,PENTA,Yes,38,77,71,44,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R5,ROTA,Yes,140,43,148,35,LGA,No,Yes,Scheduled routine immunization session
KD-002-R5,PCV,Yes,55,81,88,48,LGA,No,Yes,Scheduled routine immunization session
KD-002-R6,BCG,Yes,89,0,67,22,LGA,No,Yes,Outreach session held this week
KD-002-R6,HPV,Yes,40,23,48,15,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R6,IPV,Yes,29,31,43,17,LGA,Yes,No,
KD-002-R6,MR,Yes,33,19,37,15,KDHSMA,Yes,Yes,School-based session (HPV)
KD-002-R6,MEN A,Yes,42,17,47,12,LGA,Yes,Yes,Scheduled routine immunization session
KD-002-R6,MCV,No,7,0,0,7,LGA,No,Yes,Catch-up campaign
KD-002-R6,OPV,Yes,75,0,32,43,LGA,No,Yes,Scheduled routine immunization session
KD-002-R6,YF,Yes,42,24,52,14,Zipline,Yes,Yes,Scheduled routine immunization session
KD-002-R6,PENTA,Yes,71,64,88,47,LGA,No,Yes,Scheduled routine immunization session
KD-002-R6,ROTA,Yes,148,45,165,28,LGA,Yes,Yes,Outreach session held this week
KD-002-R6,PCV,Yes,88,73,121,40,LGA,Yes,No,
KD-003-R1,BCG,Yes,44,24,52,16,LGA,Yes,No,
KD-003-R1,HPV,Yes,5,18,4,19,LGA,Yes,Yes,School-based session (HPV)
KD-003-R1,IPV,Yes,43,38,64,17,LGA,Yes,No,
KD-003-R1,MR,Yes,7,23,22,8,LGA,Yes,No,
KD-003-R1,MEN A,Yes,19,0,12,7,KDHSMA,Yes,No,
KD-003-R1,MCV,Yes,20,27,22,25,Zipline,No,Yes,Scheduled routine immunization session
KD-003-R1,OPV,Yes,126,67,153,40,Zipline,Yes,No,
KD-003-R1,YF,Yes,33,0,14,19,LGA,Yes,Yes,High birth cohort this week
KD-003-R1,PENTA,Yes,45,0,1,44,Zipline,Yes,Yes,Scheduled routine immunization session
KD-003-R1,ROTA,Yes,38,64,71,31,KDHSMA,Yes,Yes,School-based session (HPV)
KD-003-R1,PCV,Yes,14,74,43,45,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R2,BCG,Yes,52,35,65,22,LGA,No,Yes,Scheduled routine immunization session
KD-003-R2,HPV,Yes,4,15,12,7,KDHSMA,Yes,No,
KD-003-R2,IPV,Yes,64,37,67,34,LGA,Yes,Yes,Catch-up campaign
KD-003-R2,MR,Yes,22,0,6,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R2,MEN A,Yes,12,16,13,15,Zipline,No,Yes,Outreach session held this week
KD-003-R2,MCV,Yes,22,0,3,19,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R2,OPV,Yes,153,0,102,51,Zipline,Yes,Yes,Scheduled routine immunization session
KD-003-R2,YF,Yes,14,36,34,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R2,PENTA,No,1,0,0,1,LGA,No,Yes,Outreach session held this week
KD-003-R2,ROTA,Yes,71,43,95,19,LGA,Yes,No,
KD-003-R2,PCV,Yes,43,92,82,53,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-003-R3,BCG,Yes,65,37,86,16,KDHSMA,Yes,No,
KD-003-R3,HPV,Yes,12,0,2,10,LGA,Yes,No,
KD-003-R3,IPV,Yes,67,38,83,22,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-003-R3,MR,Yes,6,24,14,16,LGA,Yes,Yes,Outreach session held this week
KD-003-R3,MEN A,Yes,13,0,6,7,KDHSMA,Yes,No,
KD-003-R3,MCV,Yes,3,27,14,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R3,OPV,Yes,102,68,122,48,KDHSMA,Yes,Yes,Catch-up campaign
KD-003-R3,YF,Yes,34,0,21,13,LGA,Yes,No,
KD-003-R3,PENTA,Yes,0,78,30,48,KDHSMA,Yes,Yes,Outreach session held this week
KD-003-R3,ROTA,Yes,95,46,112,29,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-003-R3,PCV,Yes,82,0,33,49,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R4,BCG,Yes,86,0,58,28,KDHSMA,Yes,Yes,Outreach session held this week
KD-003-R4,HPV,No,2,0,0,2,LGA,No,Yes,School-based session (HPV)
KD-003-R4,IPV,Yes,83,27,92,18,LGA,Yes,No,
KD-003-R4,MR,Yes,14,19,17,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R4,MEN A,Yes,6,22,18,10,KDHSMA,Yes,No,
KD-003-R4,MCV,Yes,14,27,30,11,LGA,Yes,No,
KD-003-R4,OPV,Yes,122,79,160,41,Zipline,Yes,Yes,Scheduled routine immunization session
KD-003-R4,YF,Yes,21,26,33,14,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R4,PENTA,Yes,30,96,88,38,LGA,Yes,No,
KD-003-R4,ROTA,Yes,112,52,137,27,LGA,Yes,No,
KD-003-R4,PCV,No,33,0,0,33,Zipline,No,Yes,Scheduled routine immunization session
KD-003-R5,BCG,Yes,58,0,33,25,LGA,Yes,Yes,Outreach session held this week
KD-003-R5,HPV,Yes,0,26,17,9,Zipline,Yes,No,
KD-003-R5,IPV,Yes,92,0,74,18,LGA,Yes,No,
KD-003-R5,MR,Yes,17,25,25,17,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R5,MEN A,Yes,18,0,2,16,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R5,MCV,Yes,30,0,12,18,Zipline,Yes,Yes,Scheduled routine immunization session
KD-003-R5,OPV,Yes,160,67,177,50,KDHSMA,Yes,Yes,Outreach session held this week
KD-003-R5,YF,Yes,33,22,43,12,LGA,Yes,No,
KD-003-R5,PENTA,Yes,88,80,109,59,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R5,ROTA,Yes,137,50,156,31,Zipline,Yes,Yes,High birth cohort this week
KD-003-R5,PCV,Yes,0,73,23,50,LGA,Yes,Yes,High birth cohort this week
KD-003-R6,BCG,Yes,33,0,8,25,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R6,HPV,No,17,0,0,17,LGA,No,Yes,School-based session (HPV)
KD-003-R6,IPV,Yes,74,0,47,27,LGA,Yes,Yes,Outreach session held this week
KD-003-R6,MR,Yes,25,0,15,10,LGA,Yes,No,
KD-003-R6,MEN A,No,2,0,0,2,LGA,No,Yes,Scheduled routine immunization session
KD-003-R6,MCV,Yes,12,40,40,12,LGA,Yes,No,
KD-003-R6,OPV,Yes,177,0,141,36,LGA,Yes,No,
KD-003-R6,YF,Yes,43,33,62,14,LGA,Yes,Yes,Scheduled routine immunization session
KD-003-R6,PENTA,Yes,109,84,158,35,LGA,Yes,No,
KD-003-R6,ROTA,Yes,156,0,122,34,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-003-R6,PCV,No,23,0,0,23,Zipline,No,No,
KD-004-R1,BCG,Yes,0,72,23,49,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R1,HPV,No,19,0,0,19,LGA,No,Yes,School-based session (HPV)
KD-004-R1,IPV,Yes,117,0,68,49,Zipline,Yes,No,
KD-004-R1,MR,Yes,43,57,68,32,LGA,Yes,No,
KD-004-R1,MEN A,Yes,48,46,61,33,LGA,Yes,Yes,School-based session (HPV)
KD-004-R1,MCV,Yes,97,0,61,36,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R1,OPV,Yes,298,0,181,117,LGA,Yes,Yes,High birth cohort this week
KD-004-R1,YF,Yes,182,53,196,39,LGA,No,Yes,Scheduled routine immunization session
KD-004-R1,PENTA,Yes,514,177,564,127,Zipline,Yes,Yes,Scheduled routine immunization session
KD-004-R1,ROTA,Yes,322,94,327,89,Zipline,Yes,Yes,Scheduled routine immunization session
KD-004-R1,PCV,Yes,143,0,42,101,LGA,Yes,No,
KD-004-R2,BCG,Yes,23,80,50,53,LGA,Yes,Yes,Outreach session held this week
KD-004-R2,HPV,Yes,0,45,5,40,KDHSMA,Yes,Yes,School-based session (HPV)
KD-004-R2,IPV,Yes,68,79,96,51,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R2,MR,Yes,68,0,32,36,LGA,No,Yes,Scheduled routine immunization session
KD-004-R2,MEN A,Yes,61,47,82,26,Zipline,Yes,No,
KD-004-R2,MCV,Yes,61,60,82,39,LGA,Yes,Yes,Outreach session held this week
KD-004-R2,OPV,Yes,181,158,241,98,LGA,Yes,No,
KD-004-R2,YF,Yes,196,62,221,37,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R2,PENTA,Yes,564,188,650,102,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R2,ROTA,Yes,327,0,252,75,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R2,PCV,Yes,42,200,139,103,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R3,BCG,Yes,50,89,82,57,Zipline,Yes,Yes,School-based session (HPV)
KD-004-R3,HPV,Yes,5,43,17,31,LGA,No,Yes,Catch-up campaign
KD-004-R3,IPV,Yes,96,0,48,48,Zipline,Yes,No,
KD-004-R3,MR,No,32,0,0,32,LGA,No,Yes,Scheduled routine immunization session
KD-004-R3,MEN A,Yes,82,54,109,27,Zipline,Yes,No,
KD-004-R3,MCV,Yes,82,66,119,29,LGA,Yes,No,
KD-004-R3,OPV,Yes,241,172,295,118,LGA,Yes,Yes,School-based session (HPV)
KD-004-R3,YF,Yes,221,57,244,34,LGA,No,Yes,High birth cohort this week
KD-004-R3,PENTA,Yes,650,170,731,89,LGA,Yes,No,
KD-004-R3,ROTA,Yes,252,113,287,78,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R3,PCV,Yes,139,173,209,103,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R4,BCG,Yes,82,82,116,48,LGA,Yes,Yes,Outreach session held this week
KD-004-R4,HPV,No,17,0,0,17,KDHSMA,No,Yes,School-based session (HPV)
KD-004-R4,IPV,Yes,48,94,84,58,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R4,MR,Yes,0,65,32,33,LGA,Yes,No,
KD-004-R4,MEN A,Yes,109,0,78,31,LGA,Yes,Yes,School-based session (HPV)
KD-004-R4,MCV,Yes,119,58,140,37,LGA,Yes,Yes,Outreach session held this week
KD-004-R4,OPV,Yes,295,0,170,125,LGA,Yes,Yes,High birth cohort this week
KD-004-R4,YF,Yes,244,60,264,40,Zipline,Yes,Yes,Outreach session held this week
KD-004-R4,PENTA,Yes,731,173,785,119,KDHSMA,Yes,Yes,Outreach session held this week
KD-004-R4,ROTA,Yes,287,129,334,82,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R4,PCV,Yes,209,197,312,94,LGA,Yes,No,
KD-004-R5,BCG,Yes,116,79,130,65,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R5,HPV,Yes,0,46,12,34,LGA,Yes,Yes,School-based session (HPV)
KD-004-R5,IPV,Yes,84,104,129,59,LGA,Yes,Yes,Outreach session held this week
KD-004-R5,MR,Yes,32,78,65,45,LGA,Yes,Yes,Catch-up campaign
KD-004-R5,MEN A,Yes,78,0,47,31,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R5,MCV,Yes,140,0,101,39,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R5,OPV,Yes,170,0,74,96,LGA,No,No,
KD-004-R5,YF,Yes,264,68,291,41,KDHSMA,Yes,Yes,Outreach session held this week
KD-004-R5,PENTA,Yes,785,161,845,101,LGA,Yes,No,
KD-004-R5,ROTA,Yes,334,121,382,73,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R5,PCV,Yes,312,0,185,127,LGA,No,Yes,High birth cohort this week
KD-004-R6,BCG,Yes,130,73,159,44,KDHSMA,Yes,No,
KD-004-R6,HPV,No,12,0,0,12,LGA,No,Yes,School-based session (HPV)
KD-004-R6,IPV,Yes,129,0,77,52,LGA,Yes,Yes,Scheduled routine immunization session
KD-004-R6,MR,Yes,65,0,22,43,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R6,MEN A,Yes,47,0,19,28,Zipline,Yes,No,
KD-004-R6,MCV,Yes,101,52,115,38,Zipline,No,Yes,Outreach session held this week
KD-004-R6,OPV,Yes,74,162,119,117,LGA,Yes,Yes,Outreach session held this week
KD-004-R6,YF,Yes,291,55,311,35,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-004-R6,PENTA,Yes,845,0,734,111,LGA,Yes,Yes,Outreach session held this week
KD-004-R6,ROTA,Yes,382,0,324,58,KDHSMA,No,No,
KD-004-R6,PCV,Yes,185,0,75,110,Zipline,Yes,Yes,Scheduled routine immunization session
KD-007-R1,BCG,Yes,252,85,288,49,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R1,HPV,Yes,120,64,155,29,LGA,Yes,Yes,School-based session (HPV)
KD-007-R1,IPV,Yes,160,86,191,55,Zipline,Yes,Yes,Catch-up campaign
KD-007-R1,MR,Yes,0,54,19,35,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-007-R1,MEN A,Yes,146,45,158,33,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-007-R1,MCV,Yes,113,76,154,35,LGA,Yes,Yes,High birth cohort this week
KD-007-R1,OPV,Yes,105,174,185,94,LGA,Yes,No,
KD-007-R1,YF,Yes,69,60,97,32,Zipline,Yes,No,
KD-007-R1,PENTA,Yes,288,0,182,106,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-007-R1,ROTA,Yes,160,129,214,75,KDHSMA,Yes,Yes,High birth cohort this week
KD-007-R1,PCV,Yes,235,194,333,96,Zipline,Yes,No,
KD-007-R2,BCG,Yes,288,0,241,47,KDHSMA,Yes,Yes,Scheduled routine immunization session
KD-007-R2,HPV,Yes,155,0,119,36,LGA,Yes,Yes,Outreach session held this week
KD-007-R2,IPV,Yes,191,88,216,63,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R2,MR,Yes,19,48,22,45,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R2,MEN A,Yes,158,0,119,39,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R2,MCV,Yes,154,41,154,41,KDHSMA,No,Yes,Scheduled routine immunization session
KD-007-R2,OPV,Yes,185,156,236,105,LGA,Yes,Yes,School-based session (HPV)
KD-007-R2,YF,Yes,97,56,109,44,KDHSMA,No,Yes,Scheduled routine immunization session
KD-007-R2,PENTA,Yes,182,0,84,98,LGA,Yes,No,
KD-007-R2,ROTA,Yes,214,120,257,77,LGA,Yes,Yes,Catch-up campaign
KD-007-R2,PCV,Yes,333,179,393,119,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R3,BCG,Yes,241,61,248,54,LGA,Yes,Yes,Outreach session held this week
KD-007-R3,HPV,Yes,119,49,138,30,KDHSMA,Yes,Yes,School-based session (HPV)
KD-007-R3,IPV,Yes,216,78,238,56,LGA,Yes,Yes,Catch-up campaign
KD-007-R3,MR,Yes,22,64,56,30,Zipline,Yes,No,
KD-007-R3,MEN A,Yes,119,49,145,23,LGA,Yes,No,
KD-007-R3,MCV,Yes,154,55,181,28,LGA,Yes,No,
KD-007-R3,OPV,Yes,236,0,143,93,LGA,Yes,No,
KD-007-R3,YF,Yes,109,58,133,34,LGA,Yes,Yes,High birth cohort this week
KD-007-R3,PENTA,Yes,84,177,153,108,Zipline,Yes,Yes,Catch-up campaign
KD-007-R3,ROTA,Yes,257,0,180,77,Zipline,Yes,Yes,Outreach session held this week
KD-007-R3,PCV,Yes,393,0,295,98,LGA,Yes,No,
KD-007-R4,BCG,Yes,248,0,204,44,Zipline,Yes,No,
KD-007-R4,HPV,Yes,138,50,147,41,LGA,Yes,Yes,School-based session (HPV)
KD-007-R4,IPV,Yes,238,0,197,41,KDHSMA,No,No,
KD-007-R4,MR,Yes,56,0,20,36,KDHSMA,No,Yes,Scheduled routine immunization session
KD-007-R4,MEN A,Yes,145,47,168,24,LGA,Yes,No,
KD-007-R4,MCV,Yes,181,70,215,36,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R4,OPV,Yes,143,177,204,116,LGA,Yes,Yes,Outreach session held this week
KD-007-R4,YF,Yes,133,0,97,36,LGA,Yes,Yes,Outreach session held this week
KD-007-R4,PENTA,Yes,153,167,195,125,Zipline,Yes,Yes,Scheduled routine immunization session
KD-007-R4,ROTA,Yes,180,126,238,68,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R4,PCV,Yes,295,0,188,107,LGA,Yes,Yes,Outreach session held this week
KD-007-R5,BCG,Yes,204,0,149,55,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R5,HPV,Yes,147,0,109,38,KDHSMA,Yes,Yes,Outreach session held this week
KD-007-R5,IPV,Yes,197,0,138,59,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R5,MR,No,20,0,0,20,Zipline,No,Yes,Catch-up campaign
KD-007-R5,MEN A,Yes,168,61,200,29,LGA,No,Yes,Outreach session held this week
KD-007-R5,MCV,Yes,215,57,229,43,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R5,OPV,Yes,204,153,227,130,LGA,No,Yes,High birth cohort this week
KD-007-R5,YF,Yes,97,59,123,33,KDHSMA,Yes,No,
KD-007-R5,PENTA,Yes,195,173,270,98,LGA,Yes,No,
KD-007-R5,ROTA,Yes,238,0,163,75,LGA,Yes,Yes,Scheduled routine immunization session
KD-007-R5,PCV,Yes,188,186,267,107,LGA,Yes,Yes,Scheduled routine immunization session
