visit_id,cadre,reason,staff_count
KD-005-R4,JCHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-005-R4,JCHEW,Long Distance to Workplace,1
KD-005-R4,Medical Records Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-005-R4,Environmental Health Officer,Access to Salary,1
KD-005-R5,CHO,Transportation Problems,1
KD-005-R5,CHEW,Access to Salary,1
KD-005-R5,CHEW,Lack of Professional Development Opportunities,1
KD-005-R5,JCHEW,Crime,1
KD-005-R5,Pharmacy Technician,"Leave (Study, Annual, Maternity, etc.)",1
KD-005-R6,Nurse/Midwife,Personal Health Issues,1
KD-005-R6,Nurse/Midwife,Unrest,1
KD-005-R6,CHO,Access to Salary,1
KD-005-R6,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-005-R6,CHEW,Meetings,1
KD-005-R6,JCHEW,Unrest,1
KD-005-R6,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-005-R6,JCHEW,Personal Health Issues,1
KD-005-R6,Pharmacy Technician,Access to Salary,1
KD-006-R1,Nurse/Midwife,Unrest,1
KD-006-R1,CHEW,Funeral,1
KD-006-R1,CHEW,Weddings,1
KD-006-R1,CHEW,Unrest,1
KD-006-R1,JCHEW,Long Distance to Workplace,1
KD-006-R1,JCHEW,Transportation Problems,1
KD-006-R3,Nurse/Midwife,Long Distance to Workplace,1
KD-006-R3,CHEW,Funeral,1
KD-006-R3,CHEW,Long Distance to Workplace,1
KD-006-R3,CHEW,Shift,1
KD-006-R4,Nurse/Midwife,Family Responsibilities,1
KD-006-R4,JCHEW,Access to Salary,1
KD-006-R5,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-006-R5,CHEW,Unrest,2
KD-006-R5,CHEW,Meetings,1
KD-006-R5,JCHEW,Workshop and Training,1
KD-006-R5,Medical Records Officer,Unrest,1
KD-007-R1,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R1,Medical Officer,Personal Health Issues,1
KD-007-R1,Medical Officer,Lack of Professional Development Opportunities,1
KD-007-R1,Nurse/Midwife,Weddings,1
KD-007-R1,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R1,Nurse/Midwife,Workshop and Training,1
KD-007-R1,Medical Records Officer,Weddings,1
KD-007-R2,Medical Officer,Unrest,1
KD-007-R2,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",2
KD-007-R2,Nurse/Midwife,Access to Salary,1
KD-007-R2,CHO,Weddings,1
KD-007-R2,CHO,Dissatisfaction with Salary and Benefits,1
KD-007-R2,JCHEW,Access to Salary,1
KD-007-R2,JCHEW,Weddings,1
KD-007-R2,Medical Lab Technician,Dissatisfaction with Salary and Benefits,1
KD-007-R2,Medical Lab Technician,Unrest,1
KD-007-R2,Medical Lab Technician,Access to Salary,1
KD-007-R2,Medical Records Officer,Personal Health Issues,1
KD-007-R2,Environmental Health Officer,Weddings,1
KD-007-R3,Medical Officer,Lack of Professional Development Opportunities,1
KD-007-R3,Medical Officer,Personal Health Issues,1
KD-007-R3,Medical Officer,Long Distance to Workplace,1
KD-007-R3,Nurse/Midwife,Shift,1
KD-007-R3,Nurse/Midwife,Workshop and Training,1
KD-007-R3,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-007-R3,Medical Lab Technician,Long Distance to Workplace,1
KD-007-R3,Medical Records Officer,High Workload and Stress,1
KD-007-R3,Medical Records Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R4,Nurse/Midwife,Access to Salary,1
KD-007-R4,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-007-R4,Nurse/Midwife,Dissatisfaction with Job,1
KD-007-R4,JCHEW,Personal Health Issues,1
KD-007-R4,Medical Lab Technician,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R4,Medical Records Officer,Weddings,1
KD-007-R4,Environmental Health Officer,Dissatisfaction with Salary and Benefits,1
KD-007-R5,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R5,Medical Officer,Meetings,1
KD-007-R5,Nurse/Midwife,Workshop and Training,1
KD-007-R5,Nurse/Midwife,Access to Salary,1
KD-007-R5,Nurse/Midwife,Transportation Problems,1
KD-007-R5,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-007-R5,CHO,Policy and Governance Issues,1
KD-007-R5,CHEW,Personal Health Issues,1
KD-007-R5,JCHEW,Workshop and Training,1
KD-007-R5,JCHEW,Access to Salary,1
KD-007-R5,Medical Lab Technician,Shift,1
KD-007-R5,Medical Lab Technician,Transportation Problems,1
KD-007-R5,Medical Lab Technician,Dissatisfaction with Salary and Benefits,1
KD-007-R5,Medical Records Officer,Funeral,1
KD-007-R5,Pharmacy Technician,Long Distance to Workplace,1
KD-007-R6,Medical Officer,Meetings,1
KD-007-R6,Nurse/Midwife,Access to Salary,1
KD-007-R6,Nurse/Midwife,Shift,1
KD-007-R6,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-007-R6,Nurse/Midwife,Meetings,1
KD-007-R6,Nurse/Midwife,Funeral,1
KD-007-R6,Nurse/Midwife,Personal Health Issues,1
KD-007-R6,Nurse/Midwife,Unrest,1
KD-007-R6,CHO,Unrest,1
KD-007-R6,CHO,Dissatisfaction with Job,1
KD-007-R6,CHEW,Workshop and Training,1
KD-007-R6,CHEW,Poor Health Facility Infrastructure,1
KD-007-R6,CHEW,Unrest,1
KD-007-R6,JCHEW,Personal Health Issues,2
KD-007-R6,JCHEW,Unrest,1
KD-007-R6,JCHEW,Long Distance to Workplace,1
KD-007-R6,Medical Lab Technician,Shift,1
KD-007-R6,Medical Records Officer,Unrest,1
KD-007-R6,Pharmacy Technician,"Leave (Study, Annual, Maternity, etc.)",2
KD-007-R6,Pharmacy Technician,Transportation Problems,1
KD-007-R6,Pharmacy Technician,Shift,1
KD-007-R6,Pharmacy Technician,Family Responsibilities,1
KD-007-R6,Pharmacy Technician,Unrest,1
KD-007-R6,Environmental Health Officer,Shift,1
KD-008-R1,Medical Officer,Access to Salary,1
KD-008-R1,Nurse/Midwife,Unrest,1
KD-008-R1,Nurse/Midwife,Workshop and Training,1
KD-008-R1,Nurse/Midwife,Long Distance to Workplace,1
KD-008-R1,CHO,Meetings,1
KD-008-R1,CHO,Dissatisfaction with Salary and Benefits,1
KD-008-R1,JCHEW,Access to Salary,1
KD-008-R1,JCHEW,Long Distance to Workplace,1
KD-008-R1,Medical Records Officer,Workshop and Training,1
KD-008-R1,Pharmacy Technician,Poor Health Facility Infrastructure,1
KD-008-R2,JCHEW,Poor Health Facility Infrastructure,1
KD-008-R2,JCHEW,Family Responsibilities,1
KD-008-R3,CHEW,Meetings,1
KD-008-R3,Medical Records Officer,Funeral,1
KD-008-R4,Medical Officer,Meetings,1
KD-008-R4,JCHEW,High Workload and Stress,1
KD-008-R5,Medical Officer,Unrest,1
KD-008-R5,Medical Officer,Long Distance to Workplace,1
KD-008-R5,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-008-R5,Nurse/Midwife,Lack of Professional Development Opportunities,1
KD-008-R5,CHO,Weddings,1
KD-008-R5,CHO,Long Distance to Workplace,1
KD-008-R5,JCHEW,Transportation Problems,1
KD-008-R5,JCHEW,Shift,1
KD-008-R5,JCHEW,Family Responsibilities,1
KD-008-R6,CHO,Personal Health Issues,1
KD-008-R6,JCHEW,Meetings,1
KD-008-R6,Pharmacy Technician,Dissatisfaction with Salary and Benefits,1
KD-009-R1,Nurse/Midwife,Access to Salary,1
KD-009-R1,CHEW,Personal Health Issues,1
KD-009-R1,Medical Records Officer,Transportation Problems,1
KD-009-R2,CHEW,Weddings,1
KD-009-R2,JCHEW,Personal Health Issues,1
KD-009-R2,JCHEW,Shift,1
KD-009-R2,Medical Lab Technician,Long Distance to Workplace,1
KD-009-R3,Nurse/Midwife,Access to Salary,1
KD-009-R4,Nurse/Midwife,Weddings,1
KD-009-R4,JCHEW,Funeral,1
KD-009-R4,Medical Lab Technician,Personal Health Issues,1
KD-009-R5,Nurse/Midwife,Access to Salary,1
KD-009-R5,Nurse/Midwife,Transportation Problems,1
KD-009-R5,CHEW,Crime,1
KD-009-R5,CHEW,Funeral,1
KD-009-R5,CHEW,High Workload and Stress,1
KD-009-R5,JCHEW,Family Responsibilities,1
KD-009-R5,Medical Lab Technician,Unrest,1
KD-009-R6,CHEW,Family Responsibilities,1
KD-009-R6,CHEW,High Workload and Stress,1
KD-009-R6,JCHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-009-R6,JCHEW,Unrest,1
KD-009-R6,Medical Lab Technician,Dissatisfaction with Job,1
KD-010-R1,Nurse/Midwife,Unrest,1
KD-010-R1,Medical Lab Technician,Weddings,1
KD-010-R1,Pharmacy Technician,Dissatisfaction with Salary and Benefits,1
KD-010-R1,Environmental Health Officer,Meetings,1
KD-010-R1,Environmental Health Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-010-R2,Medical Officer,Access to Salary,1
KD-010-R2,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",2
KD-010-R2,Nurse/Midwife,Personal Health Issues,1
KD-010-R2,CHO,"Leave (Study, Annual, Maternity, etc.)",1
KD-010-R2,JCHEW,Funeral,1
KD-010-R2,JCHEW,Personal Health Issues,1
KD-010-R2,Medical Records Officer,Shift,1
KD-010-R2,Environmental Health Officer,Weddings,1
KD-010-R2,Environmental Health Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-010-R3,Nurse/Midwife,Workshop and Training,2
KD-010-R3,Nurse/Midwife,Weddings,1
KD-010-R3,Nurse/Midwife,Transportation Problems,1
KD-010-R3,Nurse/Midwife,Funeral,1
KD-010-R3,Nurse/Midwife,Personal Health Issues,1
KD-010-R3,Medical Lab Technician,Personal Health Issues,1
KD-010-R3,Medical Lab Technician,Funeral,1
KD-010-R3,Medical Lab Technician,Workshop and Training,1
KD-010-R3,Environmental Health Officer,Policy and Governance Issues,1
KD-010-R4,Medical Officer,Access to Salary,2
KD-010-R4,Medical Officer,Dissatisfaction with Job,1
KD-010-R4,Medical Officer,Workplace Conflict,1
KD-010-R4,Nurse/Midwife,Shift,1
KD-010-R4,Nurse/Midwife,Long Distance to Workplace,1
KD-010-R4,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-010-R4,Nurse/Midwife,Meetings,1
KD-010-R4,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-010-R4,Nurse/Midwife,Personal Health Issues,1
KD-010-R4,Nurse/Midwife,Workplace Conflict,1
KD-010-R4,JCHEW,Family Responsibilities,1
KD-010-R4,Medical Lab Technician,Meetings,1
KD-010-R4,Medical Lab Technician,Shift,1
KD-010-R4,Medical Lab Technician,Personal Health Issues,1
KD-010-R4,Medical Records Officer,Personal Health Issues,1
KD-010-R4,Pharmacy Technician,Personal Health Issues,2
KD-010-R4,Pharmacy Technician,Shift,1
KD-010-R4,Environmental Health Officer,Long Distance to Workplace,1
KD-010-R5,Nurse/Midwife,Long Distance to Workplace,3
KD-010-R5,Nurse/Midwife,Weddings,1
KD-010-R5,Nurse/Midwife,Lack of Professional Development Opportunities,1
KD-010-R5,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-010-R5,Nurse/Midwife,Access to Salary,1
KD-010-R5,Nurse/Midwife,Personal Health Issues,1
KD-010-R5,CHO,Shift,1
KD-010-R5,Medical Lab Technician,Weddings,1
KD-010-R5,Medical Lab Technician,Shift,1
KD-010-R5,Medical Lab Technician,Access to Salary,1
KD-010-R5,Environmental Health Officer,Personal Health Issues,1
KD-010-R6,Medical Officer,Access to Salary,1
KD-010-R6,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",2
KD-010-R6,Nurse/Midwife,Dissatisfaction with Job,1
KD-010-R6,Nurse/Midwife,High Workload and Stress,1
KD-010-R6,Nurse/Midwife,Weddings,1
KD-010-R6,Nurse/Midwife,Transportation Problems,1
KD-010-R6,JCHEW,Workshop and Training,1
KD-010-R6,Medical Lab Technician,Unrest,2
KD-010-R6,Medical Lab Technician,Meetings,1
KD-010-R6,Medical Lab Technician,Shift,1
KD-010-R6,Medical Lab Technician,Workshop and Training,1
KD-010-R6,Medical Records Officer,Policy and Governance Issues,1
KD-010-R6,Medical Records Officer,Meetings,1
KD-010-R6,Environmental Health Officer,Long Distance to Workplace,2
KD-011-R1,CHEW,Funeral,1
KD-011-R1,JCHEW,Shift,1
KD-011-R2,Nurse/Midwife,Unrest,1
KD-011-R2,CHEW,Weddings,2
KD-011-R2,CHEW,High Workload and Stress,1
KD-011-R2,CHEW,Dissatisfaction with Salary and Benefits,1
KD-011-R2,JCHEW,Weddings,1
KD-011-R3,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-011-R3,CHEW,Workshop and Training,1
KD-011-R4,Nurse/Midwife,Meetings,1
KD-011-R4,CHEW,Personal Health Issues,1
KD-011-R4,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-011-R5,CHEW,Shift,1
KD-011-R6,Pharmacy Technician,Meetings,1
KD-012-R1,CHO,Family Responsibilities,1
KD-012-R1,CHEW,Meetings,1
KD-012-R2,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-012-R2,CHEW,High Workload and Stress,1
KD-012-R2,Medical Records Officer,Long Distance to Workplace,1
KD-012-R3,Medical Officer,Access to Salary,1
KD-012-R3,Nurse/Midwife,Meetings,1
KD-012-R3,CHEW,Unrest,2
KD-012-R3,CHEW,Weddings,1
KD-012-R3,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-012-R3,JCHEW,Unrest,2
KD-012-R3,Medical Lab Technician,Access to Salary,1
KD-012-R4,CHEW,Dissatisfaction with Salary and Benefits,1
KD-012-R4,CHEW,Access to Salary,1
KD-012-R4,Medical Lab Technician,Family Responsibilities,1
KD-012-R5,Medical Officer,Personal Health Issues,1
KD-012-R5,CHEW,"Leave (Study, Annual, Maternity, etc.)",2
KD-012-R5,JCHEW,Funeral,1
KD-012-R6,Medical Records Officer,Family Responsibilities,1
KD-013-R1,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R1,Nurse/Midwife,Workshop and Training,1
KD-013-R1,CHO,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R1,CHEW,Transportation Problems,1
KD-013-R1,CHEW,Dissatisfaction with Job,1
KD-013-R2,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R2,CHEW,Crime,1
KD-013-R2,JCHEW,Workplace Conflict,1
KD-013-R3,JCHEW,Personal Health Issues,1
KD-013-R4,CHO,Transportation Problems,1
KD-013-R4,CHEW,Access to Salary,1
KD-013-R4,JCHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R5,Nurse/Midwife,Personal Health Issues,1
KD-013-R5,Nurse/Midwife,Long Distance to Workplace,1
KD-013-R5,CHEW,Unrest,1
KD-013-R5,CHEW,Funeral,1
KD-013-R5,JCHEW,Dissatisfaction with Job,1
KD-013-R6,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R6,CHO,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R6,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-013-R6,CHEW,Shift,1
KD-013-R6,JCHEW,Weddings,1
KD-013-R6,JCHEW,Workshop and Training,1
KD-014-R1,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-014-R2,Nurse/Midwife,High Workload and Stress,1
KD-014-R2,Nurse/Midwife,"Leave (Study, Annual, Maternity, etc.)",1
KD-014-R2,Nurse/Midwife,Poor Health Facility Infrastructure,1
KD-014-R2,CHEW,High Workload and Stress,1
KD-014-R2,Pharmacy Technician,Transportation Problems,1
KD-014-R3,Nurse/Midwife,Workplace Conflict,1
KD-014-R3,Nurse/Midwife,Funeral,1
KD-014-R3,Nurse/Midwife,Transportation Problems,1
KD-014-R3,CHEW,Funeral,2
KD-014-R3,CHEW,Access to Salary,1
KD-014-R3,CHEW,Workshop and Training,1
KD-014-R3,JCHEW,Personal Health Issues,1
KD-014-R3,Medical Records Officer,Shift,1
KD-014-R3,Medical Records Officer,Meetings,1
KD-014-R4,Nurse/Midwife,Unrest,1
KD-014-R4,Nurse/Midwife,Access to Salary,1
KD-014-R4,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-014-R4,CHEW,Unrest,2
KD-014-R4,CHEW,Meetings,1
KD-014-R4,JCHEW,Meetings,2
KD-014-R4,JCHEW,Unrest,1
KD-014-R4,Medical Records Officer,Meetings,1
KD-014-R5,Nurse/Midwife,Poor Health Facility Infrastructure,1
KD-014-R5,Nurse/Midwife,Meetings,1
KD-014-R5,CHO,Long Distance to Workplace,1
KD-014-R5,CHEW,Dissatisfaction with Salary and Benefits,1
KD-014-R5,CHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-014-R5,CHEW,Weddings,1
KD-014-R5,CHEW,Dissatisfaction with Job,1
KD-014-R5,JCHEW,Lack of Professional Development Opportunities,1
KD-014-R5,Medical Records Officer,Personal Health Issues,1
KD-014-R5,Medical Records Officer,Unrest,1
KD-014-R6,Nurse/Midwife,Funeral,1
KD-014-R6,Nurse/Midwife,Meetings,1
KD-014-R6,CHO,Workshop and Training,1
KD-014-R6,CHEW,Funeral,1
KD-014-R6,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-014-R6,Medical Records Officer,Funeral,1
KD-014-R6,Medical Records Officer,Dissatisfaction with Salary and Benefits,1
KD-014-R6,Pharmacy Technician,Meetings,1
KD-015-R1,CHO,Personal Health Issues,1
KD-015-R1,CHEW,Transportation Problems,2
KD-015-R1,JCHEW,Long Distance to Workplace,1
KD-015-R1,JCHEW,Workshop and Training,1
KD-015-R2,Nurse/Midwife,Access to Salary,1
KD-015-R2,CHEW,Shift,1
KD-015-R2,JCHEW,Funeral,1
KD-015-R3,CHEW,Long Distance to Workplace,1
KD-015-R3,CHEW,Access to Salary,1
KD-015-R3,Medical Records Officer,Family Responsibilities,1
KD-015-R4,Nurse/Midwife,Transportation Problems,1
KD-015-R4,Nurse/Midwife,Meetings,1
KD-015-R4,CHEW,Long Distance to Workplace,1
KD-015-R4,CHEW,Shift,1
KD-015-R4,JCHEW,Shift,1
KD-015-R4,Medical Records Officer,Personal Health Issues,1
KD-015-R4,Medical Records Officer,Long Distance to Workplace,1
KD-015-R5,JCHEW,Long Distance to Workplace,1
KD-015-R5,Medical Records Officer,Personal Health Issues,1
KD-015-R6,Nurse/Midwife,Family Responsibilities,1
KD-015-R6,Nurse/Midwife,Personal Health Issues,1
KD-015-R6,CHEW,Access to Salary,1
KD-015-R6,CHEW,Long Distance to Workplace,1
KD-015-R6,JCHEW,Meetings,1
KD-015-R6,JCHEW,"Leave (Study, Annual, Maternity, etc.)",1
KD-015-R6,JCHEW,Dissatisfaction with Salary and Benefits,1
KD-016-R1,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-016-R1,Medical Officer,Meetings,1
KD-016-R1,Medical Officer,Workshop and Training,1
KD-016-R1,Medical Officer,Weddings,1
KD-016-R1,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-016-R1,Nurse/Midwife,Long Distance to Workplace,1
KD-016-R1,Nurse/Midwife,Unrest,1
KD-016-R1,Nurse/Midwife,Workshop and Training,1
KD-016-R1,Nurse/Midwife,Poor Health Facility Infrastructure,1
KD-016-R1,Nurse/Midwife,Funeral,1
KD-016-R1,Nurse/Midwife,Shift,1
KD-016-R1,CHO,Long Distance to Workplace,1
KD-016-R1,JCHEW,Dissatisfaction with Job,1
KD-016-R1,Medical Lab Technician,Policy and Governance Issues,1
KD-016-R2,Medical Officer,Workshop and Training,1
KD-016-R2,Medical Officer,Family Responsibilities,1
KD-016-R2,Medical Officer,"Leave (Study, Annual, Maternity, etc.)",1
KD-016-R2,Nurse/Midwife,Unrest,4
KD-016-R2,Nurse/Midwife,Personal Health Issues,2
KD-016-R2,Nurse/Midwife,Meetings,1
KD-016-R2,Nurse/Midwife,Transportation Problems,1
KD-016-R2,Nurse/Midwife,Long Distance to Workplace,1
KD-016-R2,Nurse/Midwife,Workshop and Training,1
KD-016-R2,Nurse/Midwife,Family Responsibilities,1
KD-016-R2,Nurse/Midwife,Dissatisfaction with Salary and Benefits,1
KD-016-R2,Nurse/Midwife,High Workload and Stress,1
KD-016-R2,Nurse/Midwife,Weddings,1
KD-016-R2,Nurse/Midwife,Access to Salary,1
KD-016-R2,CHO,"Leave (Study, Annual, Maternity, etc.)",1
KD-016-R2,JCHEW,Meetings,1
KD-016-R2,Medical Lab Technician,Transportation Problems,1
KD-016-R2,Medical Lab Technician,Weddings,1
KD-016-R2,Medical Records Officer,High Workload and Stress,1
KD-016-R2,Medical Records Officer,Meetings,1
