visit_id,commodity,category,unit,facility_stocks_item,stockout_duration,stockout_reason,quantity_received,not_received_reason,minimum_stock_level,stock_balance,supplier,physically_verified
KD-001-R5,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,755.0,,1255.0,1274.0,Free MNCH,Yes
KD-001-R5,Paracetamol Tablet,General,tablet,Yes,No stock-out,,1373.0,,2316.0,2455.0,Free MNCH,Yes
KD-001-R5,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,797.0,,1397.0,700.0,Free MNCH,Yes
KD-001-R5,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,411.0,,751.0,152.0,Federal Government,Yes
KD-001-R5,Artemether Injection,General,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,62.0,46.0,Free MNCH,Yes
KD-001-R5,Amoxicillin Dispersible,Child,bottle,Yes,Less than 1 week,Insufficient funds for procurement,0.0,Transportation challenges,108.0,0.0,Free MNCH,No
KD-001-R5,Zinc,Child,tablet,Yes,No stock-out,,311.0,,517.0,453.0,Free MNCH,Yes
KD-001-R5,ORS,Child,sachet,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,335.0,0.0,Free MNCH,No
KD-001-R5,Paracetamol Syrup,Child,bottle,Yes,No stock-out,,83.0,,120.0,35.0,Free MNCH,Yes
KD-001-R5,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Transportation challenges,66.0,24.0,Free MNCH,Yes
KD-001-R5,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,21.0,,43.0,40.0,NGO,Yes
KD-001-R5,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,0.0,Delivery delay,279.0,399.0,Free MNCH,Yes
KD-001-R5,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,91.0,89.0,Federal Government,Yes
KD-001-R5,Implants,Family Planning,piece,Yes,No stock-out,,19.0,,26.0,11.0,Donations,No
KD-001-R6,Oxytocin,Maternal,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,55.0,27.0,Free MNCH,Yes
KD-001-R6,Misoprostol,Maternal,tablet,Yes,Less than 1 week,Delay in delivery or distribution,0.0,Stock-out at the source/KADHSMA,159.0,0.0,Free MNCH,No
KD-001-R6,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,20.0,8.0,Free MNCH,Yes
KD-001-R6,IV Fluids,Maternal,bag,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,101.0,44.0,Free MNCH,Yes
KD-001-R6,Giving Sets,Maternal,piece,Yes,No stock-out,,0.0,Delivery delay,89.0,52.0,Free MNCH,Yes
KD-001-R6,Calibrated Blood Collection Drape,Maternal,piece,Yes,1 to 4 weeks,Delay in delivery or distribution,0.0,Stock-out at the source/KADHSMA,31.0,0.0,Donations,No
KD-001-R6,Magnesium Sulphate Injection,Maternal,ampoule,Yes,Less than 1 week,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,29.0,0.0,Free MNCH,No
KD-001-R6,Folic Acid,Maternal,tablet,Yes,No stock-out,,708.0,,1155.0,688.0,Free MNCH,Yes
KD-001-R6,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,1 to 4 weeks,Requisition not submitted or submitted late,0.0,Delivery delay,395.0,0.0,Free MNCH,No
KD-001-R6,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,0.0,Delivery delay,1344.0,821.0,Donations,Yes
KD-001-R6,Paracetamol Tablet,General,tablet,Yes,No stock-out,,0.0,Delivery delay,1886.0,1816.0,Free MNCH,Yes
KD-001-R6,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,675.0,,1100.0,1019.0,Free MNCH,Yes
KD-001-R6,Ibuprofen Tablet,General,tablet,Yes,Less than 1 week,Incomplete fulfillment of requisition,0.0,Stock-out at the source/KADHSMA,885.0,0.0,NGO,No
KD-001-R6,Artemether Injection,General,ampoule,Yes,No stock-out,,25.0,,55.0,55.0,KDHSMA,Yes
KD-001-R6,Amoxicillin Dispersible,Child,bottle,Yes,1 to 4 weeks,Delay in delivery or distribution,0.0,Transportation challenges,103.0,0.0,Free MNCH,No
KD-001-R6,Zinc,Child,tablet,Yes,No stock-out,,0.0,Delivery delay,468.0,319.0,Free MNCH,Yes
KD-001-R6,ORS,Child,sachet,Yes,1 to 4 weeks,Delay in delivery or distribution,0.0,Delivery delay,374.0,0.0,Free MNCH,No
KD-001-R6,Paracetamol Syrup,Child,bottle,Yes,No stock-out,,85.0,,135.0,76.0,Donations,Yes
KD-001-R6,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,55.0,1.0,Free MNCH,Yes
KD-001-R6,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,29.0,,44.0,45.0,Free MNCH,Yes
KD-001-R6,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,0.0,Other,334.0,289.0,Free MNCH,Yes
KD-001-R6,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,104.0,53.0,Free MNCH,Yes
KD-001-R6,Implants,Family Planning,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,22.0,2.0,Federal Government,Yes
KD-002-R1,Oxytocin,Maternal,ampoule,Yes,No stock-out,,38.0,,,68.0,KDHSMA,No
KD-002-R1,Misoprostol,Maternal,tablet,Yes,No stock-out,,0.0,Delivery delay,,68.0,KDHSMA,No
KD-002-R1,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Delivery delay,,8.0,LGA,No
KD-002-R1,IV Fluids,Maternal,bag,Yes,No stock-out,,0.0,Delivery delay,,5.0,KDHSMA,Yes
KD-002-R1,Giving Sets,Maternal,piece,Yes,No stock-out,,70.0,,,60.0,KDHSMA,Yes
KD-002-R1,Calibrated Blood Collection Drape,Maternal,piece,Yes,Less than 1 week,Poor quantification or forecasting,0.0,Stock-out at the source/KADHSMA,,0.0,KDHSMA,No
KD-002-R1,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Delivery delay,,19.0,KDHSMA,No
KD-002-R1,Folic Acid,Maternal,tablet,Yes,No stock-out,,1030.0,,,1510.0,Federal Government,Yes
KD-002-R1,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Transportation challenges,,434.0,KDHSMA,Yes
KD-002-R1,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,959.0,,,565.0,KDHSMA,No
KD-002-R1,Paracetamol Tablet,General,tablet,Yes,No stock-out,,1688.0,,,2734.0,KDHSMA,No
KD-002-R1,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,844.0,,1212.0,1827.0,KDHSMA,Yes
KD-002-R1,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,511.0,,,362.0,KDHSMA,Yes
KD-002-R1,Artemether Injection,General,ampoule,Yes,No stock-out,,33.0,,,73.0,KDHSMA,Yes
KD-002-R1,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,0.0,Other,,46.0,NGO,No
KD-002-R1,Zinc,Child,tablet,Yes,No stock-out,,287.0,,,396.0,NGO,Yes
KD-002-R1,ORS,Child,sachet,Yes,More than 4 weeks,Delay in delivery or distribution,0.0,Stock-out at the source/KADHSMA,313.0,0.0,KDHSMA,No
KD-002-R1,Paracetamol Syrup,Child,bottle,Yes,Less than 1 week,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,,0.0,LGA,No
KD-002-R1,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Delivery delay,55.0,41.0,KDHSMA,Yes
KD-002-R1,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,44.0,,,62.0,KDHSMA,Yes
KD-002-R1,Artemether + Lumefantrine,General,pack,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,55.0,KDHSMA,Yes
KD-002-R1,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,73.0,,92.0,93.0,Federal Government,Yes
KD-002-R1,Implants,Family Planning,piece,Yes,No stock-out,,0.0,Other,,18.0,Federal Government,No
KD-002-R2,Oxytocin,Maternal,ampoule,Yes,No stock-out,,0.0,Delivery delay,,39.0,Free MNCH,Yes
KD-002-R2,Misoprostol,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,6.0,Free MNCH,Yes
KD-002-R2,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Other,20.0,3.0,KDHSMA,Yes
KD-002-R2,IV Fluids,Maternal,bag,Yes,1 to 4 weeks,Requisition not submitted or submitted late,0.0,Stock-out at the source/KADHSMA,,0.0,KDHSMA,No
KD-002-R2,Giving Sets,Maternal,piece,Yes,No stock-out,,50.0,,,74.0,KDHSMA,Yes
KD-002-R2,Calibrated Blood Collection Drape,Maternal,piece,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Transportation challenges,,0.0,Zipline,No
KD-002-R2,Magnesium Sulphate Injection,Maternal,ampoule,Yes,No stock-out,,0.0,Transportation challenges,36.0,8.0,KDHSMA,Yes
KD-002-R2,Folic Acid,Maternal,tablet,Yes,No stock-out,,0.0,Delivery delay,1190.0,1111.0,KDHSMA,Yes
KD-002-R2,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,296.0,KDHSMA,No
KD-002-R2,Ferrous Sulphate,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,160.0,KDHSMA,Yes
KD-002-R2,Paracetamol Tablet,General,tablet,Yes,No stock-out,,0.0,Delivery delay,,1851.0,KDHSMA,Yes
KD-002-R2,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,0.0,Transportation challenges,,1459.0,KDHSMA,Yes
KD-002-R2,Ibuprofen Tablet,General,tablet,Yes,No stock-out,,0.0,Transportation challenges,745.0,88.0,KDHSMA,No
KD-002-R2,Artemether Injection,General,ampoule,Yes,No stock-out,,0.0,Delivery delay,69.0,49.0,KDHSMA,Yes
KD-002-R2,Amoxicillin Dispersible,Child,bottle,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,22.0,KDHSMA,Yes
KD-002-R2,Zinc,Child,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,422.0,253.0,KDHSMA,Yes
KD-002-R2,ORS,Child,sachet,Yes,1 to 4 weeks,Stock-out at LGA/state/central supply level,0.0,Stock-out at the source/KADHSMA,447.0,0.0,KDHSMA,No
KD-002-R2,Paracetamol Syrup,Child,bottle,Yes,1 to 4 weeks,Delay in delivery or distribution,0.0,Delivery delay,,0.0,KDHSMA,No
KD-002-R2,Ibuprofen Suspension,Child,bottle,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,15.0,KDHSMA,Yes
KD-002-R2,Chlorhexidine Gel,Child,tube,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,52.0,KDHSMA,Yes
KD-002-R2,Artemether + Lumefantrine,General,pack,Yes,1 to 4 weeks,Other,0.0,Stock-out at the source/KADHSMA,302.0,0.0,KDHSMA,No
KD-002-R2,Injectable Contraceptives,Family Planning,ampoule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,73.0,Federal Government,Yes
KD-002-R2,Implants,Family Planning,piece,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,23.0,13.0,KDHSMA,No
KD-002-R3,Oxytocin,Maternal,ampoule,Yes,No stock-out,,0.0,Delivery delay,,18.0,KDHSMA,Yes
KD-002-R3,Misoprostol,Maternal,tablet,Yes,1 to 4 weeks,Poor quantification or forecasting,0.0,Stock-out at the source/KADHSMA,,0.0,KDHSMA,No
KD-002-R3,Tranexamic Acid Injection,Maternal,ampoule,Yes,No stock-out,,8.0,,,7.0,LGA,No
KD-002-R3,IV Fluids,Maternal,bag,Yes,More than 4 weeks,High demand or unexpected increase in consumption,0.0,Delivery delay,95.0,0.0,KDHSMA,No
KD-002-R3,Giving Sets,Maternal,piece,Yes,No stock-out,,0.0,Transportation challenges,,51.0,KDHSMA,No
KD-002-R3,Calibrated Blood Collection Drape,Maternal,piece,Yes,1 to 4 weeks,High demand or unexpected increase in consumption,0.0,Stock-out at the source/KADHSMA,34.0,0.0,KDHSMA,No
KD-002-R3,Magnesium Sulphate Injection,Maternal,ampoule,Yes,Less than 1 week,Given a non-requisitioned essential medicine or commodity,0.0,Delivery delay,,0.0,KDHSMA,No
KD-002-R3,Folic Acid,Maternal,tablet,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,1402.0,647.0,KDHSMA,Yes
KD-002-R3,Sulphadoxine + Pyrimethamine,Maternal,tablet,Yes,No stock-out,,0.0,Transportation challenges,,146.0,KDHSMA,Yes
KD-002-R3,Ferrous Sulphate,Maternal,tablet,Yes,1 to 4 weeks,Delay in delivery or distribution,0.0,Stock-out at the source/KADHSMA,,0.0,KDHSMA,No
KD-002-R3,Paracetamol Tablet,General,tablet,Yes,No stock-out,,0.0,Delivery delay,,1112.0,KDHSMA,Yes
KD-002-R3,Amoxicillin Capsule,General,capsule,Yes,No stock-out,,0.0,Stock-out at the source/KADHSMA,,1015.0,KDHSMA,No
