visit_id,service,offered,dedicated_days,all_planned_sessions_conducted,reason_not_conducted
KD-003-R4,Antenatal Care,Yes,MTWTF,Yes,
KD-003-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-003-R4,IMCI,Yes,MTWTF,Yes,
KD-003-R4,Malaria,Yes,MTWTF,No,Low community turnout / community resistance
KD-003-R4,Labour and Delivery,Yes,MTWTF,Yes,
KD-003-R4,Family Planning,Yes,Specific days,Yes,
KD-003-R5,Immunization,Yes,Specific days,Yes,
KD-003-R5,Nutrition,Yes,Specific days,Yes,
KD-003-R5,Antenatal Care,Yes,On needs basis,Yes,
KD-003-R5,Postnatal Care,Yes,MTWTF,Yes,
KD-003-R5,IMCI,Yes,MTWTF,Yes,
KD-003-R5,Malaria,Yes,Specific days,Yes,
KD-003-R5,Labour and Delivery,Yes,MTWTF,Yes,
KD-003-R5,Family Planning,Yes,MTWTF,Yes,
KD-003-R6,Immunization,Yes,MTWTF,Yes,
KD-003-R6,Nutrition,Yes,MTWTF,Yes,
KD-003-R6,Antenatal Care,Yes,Specific days,Yes,
KD-003-R6,Postnatal Care,Yes,Specific days,Yes,
KD-003-R6,IMCI,Yes,MTWTF,Yes,
KD-003-R6,Malaria,Yes,MTWTF,Yes,
KD-003-R6,Labour and Delivery,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-003-R6,Family Planning,Yes,MTWTF,Yes,
KD-004-R1,Immunization,Yes,Specific days,Yes,
KD-004-R1,Nutrition,Yes,MTWTF,Yes,
KD-004-R1,Antenatal Care,Yes,MTWTFSS,Yes,
KD-004-R1,Postnatal Care,Yes,Specific days,Yes,
KD-004-R1,IMCI,Yes,MTWTF,Yes,
KD-004-R1,Malaria,Yes,MTWTF,Yes,
KD-004-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-004-R1,Family Planning,No,,,
KD-004-R2,Immunization,Yes,Specific days,Yes,
KD-004-R2,Nutrition,Yes,MTWTFSS,Yes,
KD-004-R2,Antenatal Care,Yes,Specific days,Yes,
KD-004-R2,Postnatal Care,Yes,Specific days,Yes,
KD-004-R2,IMCI,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-004-R2,Malaria,Yes,On needs basis,No,"Security concerns (insecurity, movement restrictions)"
KD-004-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-004-R2,Family Planning,No,,,
KD-004-R3,Immunization,Yes,MTWTF,Yes,
KD-004-R3,Nutrition,Yes,Specific days,Yes,
KD-004-R3,Antenatal Care,Yes,Specific days,Yes,
KD-004-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-004-R3,IMCI,Yes,MTWTFSS,Yes,
KD-004-R3,Malaria,Yes,MTWTF,Yes,
KD-004-R3,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-004-R3,Family Planning,No,,,
KD-004-R4,Immunization,Yes,On needs basis,Yes,
KD-004-R4,Nutrition,Yes,MTWTFSS,No,"Security concerns (insecurity, movement restrictions)"
KD-004-R4,Antenatal Care,Yes,MTWTF,Yes,
KD-004-R4,Postnatal Care,Yes,Specific days,Yes,
KD-004-R4,IMCI,Yes,Specific days,Yes,
KD-004-R4,Malaria,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-004-R4,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-004-R4,Family Planning,No,,,
KD-004-R5,Immunization,Yes,Specific days,Yes,
KD-004-R5,Nutrition,Yes,MTWTF,Yes,
KD-004-R5,Antenatal Care,Yes,MTWTF,Yes,
KD-004-R5,Postnatal Care,Yes,Specific days,Yes,
KD-004-R5,IMCI,Yes,Specific days,Yes,
KD-004-R5,Malaria,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-004-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-004-R5,Family Planning,No,,,
KD-004-R6,Immunization,Yes,MTWTFSS,Yes,
KD-004-R6,Nutrition,Yes,MTWTFSS,Yes,
KD-004-R6,Antenatal Care,Yes,MTWTFSS,Yes,
KD-004-R6,Postnatal Care,Yes,Specific days,Yes,
KD-004-R6,IMCI,Yes,Specific days,Yes,
KD-004-R6,Malaria,Yes,MTWTF,Yes,
KD-004-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-004-R6,Family Planning,No,,,
KD-005-R1,Immunization,Yes,Specific days,Yes,
KD-005-R1,Nutrition,No,,,
KD-005-R1,Antenatal Care,Yes,On needs basis,Yes,
KD-005-R1,Postnatal Care,Yes,MTWTF,Yes,
KD-005-R1,IMCI,Yes,Specific days,Yes,
KD-005-R1,Malaria,Yes,MTWTF,Yes,
KD-005-R1,Labour and Delivery,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-005-R1,Family Planning,Yes,MTWTF,Yes,
KD-005-R2,Immunization,Yes,Specific days,Yes,
KD-005-R2,Nutrition,No,,,
KD-005-R2,Antenatal Care,Yes,MTWTF,Yes,
KD-005-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-005-R2,IMCI,Yes,Specific days,Yes,
KD-005-R2,Malaria,Yes,Specific days,Yes,
KD-005-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-005-R2,Family Planning,Yes,On needs basis,No,"Facility closed (holiday, strike, renovation)"
KD-005-R3,Immunization,Yes,Specific days,Yes,
KD-005-R3,Nutrition,No,,,
KD-005-R3,Antenatal Care,Yes,Specific days,No,"Facility closed (holiday, strike, renovation)"
KD-005-R3,Postnatal Care,Yes,MTWTF,Yes,
KD-005-R3,IMCI,Yes,MTWTF,Yes,
KD-005-R3,Malaria,Yes,MTWTF,Yes,
KD-005-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-005-R3,Family Planning,Yes,On needs basis,Yes,
KD-005-R4,Immunization,Yes,Specific days,Yes,
KD-005-R4,Nutrition,No,,,
KD-005-R4,Antenatal Care,Yes,MTWTF,No,Low community turnout / community resistance
KD-005-R4,Postnatal Care,Yes,MTWTF,No,Lack of transportation or logistics support
KD-005-R4,IMCI,Yes,Specific days,Yes,
KD-005-R4,Malaria,Yes,Specific days,Yes,
KD-005-R4,Labour and Delivery,Yes,MTWTF,Yes,
KD-005-R4,Family Planning,Yes,MTWTF,Yes,
KD-005-R5,Immunization,Yes,On needs basis,Yes,
KD-005-R5,Nutrition,No,,,
KD-005-R5,Antenatal Care,Yes,Specific days,Yes,
KD-005-R5,Postnatal Care,Yes,MTWTF,Yes,
KD-005-R5,IMCI,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-005-R5,Malaria,Yes,MTWTF,Yes,
KD-005-R5,Labour and Delivery,Yes,On needs basis,Yes,
KD-005-R5,Family Planning,Yes,On needs basis,Yes,
KD-005-R6,Immunization,Yes,MTWTFSS,Yes,
KD-005-R6,Nutrition,No,,,
KD-005-R6,Antenatal Care,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-005-R6,Postnatal Care,Yes,On needs basis,No,"Security concerns (insecurity, movement restrictions)"
KD-005-R6,IMCI,Yes,Specific days,Yes,
KD-005-R6,Malaria,Yes,Specific days,Yes,
KD-005-R6,Labour and Delivery,Yes,MTWTF,Yes,
KD-005-R6,Family Planning,Yes,On needs basis,Yes,
KD-006-R1,Immunization,No,,,
KD-006-R1,Nutrition,Yes,Specific days,Yes,
KD-006-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-006-R1,Postnatal Care,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-006-R1,IMCI,Yes,MTWTF,Yes,
KD-006-R1,Malaria,Yes,MTWTF,Yes,
KD-006-R1,Labour and Delivery,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-006-R1,Family Planning,Yes,Specific days,Yes,
KD-006-R2,Immunization,No,,,
KD-006-R2,Nutrition,Yes,Specific days,Yes,
KD-006-R2,Antenatal Care,Yes,MTWTF,Yes,
KD-006-R2,Postnatal Care,Yes,Specific days,Yes,
KD-006-R2,IMCI,Yes,On needs basis,Yes,
KD-006-R2,Malaria,Yes,MTWTF,Yes,
KD-006-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-006-R2,Family Planning,Yes,MTWTF,Yes,
KD-006-R3,Immunization,No,,,
KD-006-R3,Nutrition,Yes,MTWTF,Yes,
KD-006-R3,Antenatal Care,Yes,On needs basis,Yes,
KD-006-R3,Postnatal Care,Yes,Specific days,No,Vaccine stock-out
KD-006-R3,IMCI,Yes,MTWTF,Yes,
KD-006-R3,Malaria,Yes,MTWTF,Yes,
KD-006-R3,Labour and Delivery,Yes,Specific days,Yes,
KD-006-R3,Family Planning,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-006-R4,Immunization,No,,,
KD-006-R4,Nutrition,Yes,Specific days,Yes,
KD-006-R4,Antenatal Care,Yes,MTWTF,Yes,
KD-006-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-006-R4,IMCI,Yes,MTWTF,Yes,
KD-006-R4,Malaria,Yes,Specific days,Yes,
KD-006-R4,Labour and Delivery,Yes,Specific days,No,Low community turnout / community resistance
KD-006-R4,Family Planning,Yes,MTWTF,Yes,
KD-006-R5,Immunization,No,,,
KD-006-R5,Nutrition,Yes,Specific days,Yes,
KD-006-R5,Antenatal Care,Yes,Specific days,Yes,
KD-006-R5,Postnatal Care,Yes,MTWTF,Yes,
KD-006-R5,IMCI,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-006-R5,Malaria,Yes,Specific days,Yes,
KD-006-R5,Labour and Delivery,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-006-R5,Family Planning,Yes,MTWTFSS,No,"Security concerns (insecurity, movement restrictions)"
KD-006-R6,Immunization,No,,,
KD-006-R6,Nutrition,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-006-R6,Antenatal Care,Yes,Specific days,Yes,
KD-006-R6,Postnatal Care,Yes,MTWTF,Yes,
KD-006-R6,IMCI,Yes,MTWTF,Yes,
KD-006-R6,Malaria,Yes,Specific days,Yes,
KD-006-R6,Labour and Delivery,Yes,MTWTF,Yes,
KD-006-R6,Family Planning,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-007-R1,Immunization,Yes,Specific days,Yes,
KD-007-R1,Nutrition,Yes,MTWTF,Yes,
KD-007-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-007-R1,Postnatal Care,Yes,Specific days,Yes,
KD-007-R1,IMCI,Yes,MTWTF,No,Cold chain equipment failure
KD-007-R1,Malaria,Yes,MTWTF,Yes,
KD-007-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-007-R1,Family Planning,Yes,Specific days,Yes,
KD-007-R2,Immunization,Yes,MTWTFSS,Yes,
KD-007-R2,Nutrition,Yes,MTWTF,Yes,
KD-007-R2,Antenatal Care,Yes,MTWTFSS,No,"Attending training, meeting, or other official assignment"
KD-007-R2,Postnatal Care,Yes,MTWTFSS,No,"Staff unavailable (leave, redeployment, strike)"
KD-007-R2,IMCI,Yes,MTWTF,Yes,
KD-007-R2,Malaria,Yes,MTWTF,Yes,
KD-007-R2,Labour and Delivery,Yes,MTWTF,No,"Staff unavailable (leave, redeployment, strike)"
KD-007-R2,Family Planning,Yes,MTWTF,Yes,
KD-007-R3,Immunization,Yes,MTWTF,Yes,
KD-007-R3,Nutrition,Yes,MTWTF,Yes,
KD-007-R3,Antenatal Care,Yes,MTWTFSS,Yes,
KD-007-R3,Postnatal Care,Yes,Specific days,Yes,
KD-007-R3,IMCI,Yes,Specific days,Yes,
KD-007-R3,Malaria,Yes,MTWTFSS,Yes,
KD-007-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-007-R3,Family Planning,Yes,MTWTFSS,Yes,
KD-007-R4,Immunization,Yes,MTWTFSS,Yes,
KD-007-R4,Nutrition,Yes,Specific days,Yes,
KD-007-R4,Antenatal Care,Yes,On needs basis,No,"Facility closed (holiday, strike, renovation)"
KD-007-R4,Postnatal Care,Yes,MTWTF,Yes,
KD-007-R4,IMCI,Yes,MTWTF,No,Weather or environmental conditions
KD-007-R4,Malaria,Yes,Specific days,Yes,
KD-007-R4,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-007-R4,Family Planning,Yes,Specific days,Yes,
KD-007-R5,Immunization,Yes,Specific days,Yes,
KD-007-R5,Nutrition,Yes,MTWTF,Yes,
KD-007-R5,Antenatal Care,Yes,MTWTF,Yes,
KD-007-R5,Postnatal Care,Yes,Specific days,Yes,
KD-007-R5,IMCI,Yes,On needs basis,Yes,
KD-007-R5,Malaria,Yes,MTWTF,Yes,
KD-007-R5,Labour and Delivery,Yes,Specific days,Yes,
KD-007-R5,Family Planning,Yes,Specific days,Yes,
KD-007-R6,Immunization,Yes,On needs basis,No,"Security concerns (insecurity, movement restrictions)"
KD-007-R6,Nutrition,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-007-R6,Antenatal Care,Yes,MTWTFSS,No,"Staff unavailable (leave, redeployment, strike)"
KD-007-R6,Postnatal Care,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-007-R6,IMCI,Yes,MTWTFSS,Yes,
KD-007-R6,Malaria,Yes,MTWTF,No,Weather or environmental conditions
KD-007-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-007-R6,Family Planning,Yes,On needs basis,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R1,Immunization,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-008-R1,Nutrition,No,,,
KD-008-R1,Antenatal Care,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R1,Postnatal Care,Yes,Specific days,Yes,
KD-008-R1,IMCI,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R1,Malaria,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R1,Labour and Delivery,Yes,MTWTFSS,Yes,
KD-008-R1,Family Planning,Yes,Specific days,Yes,
KD-008-R2,Immunization,Yes,On needs basis,Yes,
KD-008-R2,Nutrition,No,,,
KD-008-R2,Antenatal Care,Yes,MTWTF,Yes,
KD-008-R2,Postnatal Care,Yes,MTWTF,Yes,
KD-008-R2,IMCI,Yes,MTWTFSS,Yes,
KD-008-R2,Malaria,Yes,MTWTF,Yes,
KD-008-R2,Labour and Delivery,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-008-R2,Family Planning,Yes,Specific days,Yes,
KD-008-R3,Immunization,Yes,MTWTF,Yes,
KD-008-R3,Nutrition,No,,,
KD-008-R3,Antenatal Care,Yes,Specific days,Yes,
KD-008-R3,Postnatal Care,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-008-R3,IMCI,Yes,On needs basis,Yes,
KD-008-R3,Malaria,Yes,On needs basis,Yes,
KD-008-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-008-R3,Family Planning,Yes,MTWTF,Yes,
KD-008-R4,Immunization,Yes,Specific days,Yes,
KD-008-R4,Nutrition,No,,,
KD-008-R4,Antenatal Care,Yes,Specific days,Yes,
KD-008-R4,Postnatal Care,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-008-R4,IMCI,Yes,On needs basis,Yes,
KD-008-R4,Malaria,Yes,Specific days,Yes,
KD-008-R4,Labour and Delivery,Yes,On needs basis,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R4,Family Planning,Yes,MTWTF,Yes,
KD-008-R5,Immunization,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R5,Nutrition,No,,,
KD-008-R5,Antenatal Care,Yes,MTWTFSS,Yes,
KD-008-R5,Postnatal Care,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R5,IMCI,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R5,Malaria,Yes,Specific days,No,Low community turnout / community resistance
KD-008-R5,Labour and Delivery,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-008-R5,Family Planning,Yes,MTWTF,Yes,
KD-008-R6,Immunization,Yes,MTWTF,Yes,
KD-008-R6,Nutrition,No,,,
KD-008-R6,Antenatal Care,Yes,Specific days,Yes,
KD-008-R6,Postnatal Care,Yes,Specific days,Yes,
KD-008-R6,IMCI,Yes,On needs basis,Yes,
KD-008-R6,Malaria,Yes,MTWTF,Yes,
KD-008-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-008-R6,Family Planning,Yes,On needs basis,Yes,
KD-009-R1,Immunization,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-009-R1,Nutrition,No,,,
KD-009-R1,Antenatal Care,Yes,MTWTFSS,No,Low community turnout / community resistance
KD-009-R1,Postnatal Care,No,,,
KD-009-R1,IMCI,Yes,Specific days,Yes,
KD-009-R1,Malaria,Yes,Specific days,Yes,
KD-009-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-009-R1,Family Planning,Yes,Specific days,Yes,
KD-009-R2,Immunization,Yes,On needs basis,Yes,
KD-009-R2,Nutrition,No,,,
KD-009-R2,Antenatal Care,Yes,MTWTF,Yes,
KD-009-R2,Postnatal Care,No,,,
KD-009-R2,IMCI,Yes,MTWTF,No,"Attending training, meeting, or other official assignment"
KD-009-R2,Malaria,Yes,Specific days,No,"Staff unavailable (leave, redeployment, strike)"
KD-009-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-009-R2,Family Planning,Yes,On needs basis,Yes,
KD-009-R3,Immunization,Yes,Specific days,Yes,
KD-009-R3,Nutrition,No,,,
KD-009-R3,Antenatal Care,Yes,On needs basis,Yes,
KD-009-R3,Postnatal Care,No,,,
KD-009-R3,IMCI,Yes,On needs basis,Yes,
KD-009-R3,Malaria,Yes,MTWTF,Yes,
KD-009-R3,Labour and Delivery,Yes,MTWTF,Yes,
KD-009-R3,Family Planning,Yes,Specific days,Yes,
KD-009-R4,Immunization,Yes,Specific days,Yes,
KD-009-R4,Nutrition,No,,,
KD-009-R4,Antenatal Care,Yes,MTWTFSS,Yes,
KD-009-R4,Postnatal Care,No,,,
KD-009-R4,IMCI,Yes,Specific days,Yes,
KD-009-R4,Malaria,Yes,MTWTF,Yes,
KD-009-R4,Labour and Delivery,Yes,On needs basis,No,"Staff unavailable (leave, redeployment, strike)"
KD-009-R4,Family Planning,Yes,MTWTF,Yes,
KD-009-R5,Immunization,Yes,Specific days,No,"Attending training, meeting, or other official assignment"
KD-009-R5,Nutrition,No,,,
KD-009-R5,Antenatal Care,Yes,Specific days,Yes,
KD-009-R5,Postnatal Care,No,,,
KD-009-R5,IMCI,Yes,MTWTF,Yes,
KD-009-R5,Malaria,Yes,Specific days,Yes,
KD-009-R5,Labour and Delivery,Yes,Specific days,No,"Security concerns (insecurity, movement restrictions)"
KD-009-R5,Family Planning,Yes,MTWTFSS,Yes,
KD-009-R6,Immunization,Yes,Specific days,Yes,
KD-009-R6,Nutrition,No,,,
KD-009-R6,Antenatal Care,Yes,MTWTF,Yes,
KD-009-R6,Postnatal Care,No,,,
KD-009-R6,IMCI,Yes,MTWTFSS,No,"Security concerns (insecurity, movement restrictions)"
KD-009-R6,Malaria,Yes,On needs basis,Yes,
KD-009-R6,Labour and Delivery,Yes,Specific days,Yes,
KD-009-R6,Family Planning,Yes,MTWTF,No,"Security concerns (insecurity, movement restrictions)"
KD-010-R1,Immunization,Yes,MTWTFSS,Yes,
KD-010-R1,Nutrition,Yes,MTWTF,No,Lack of transportation or logistics support
KD-010-R1,Antenatal Care,Yes,MTWTF,Yes,
KD-010-R1,Postnatal Care,Yes,MTWTF,Yes,
KD-010-R1,IMCI,No,,,
KD-010-R1,Malaria,Yes,MTWTFSS,Yes,
KD-010-R1,Labour and Delivery,Yes,Specific days,Yes,
KD-010-R1,Family Planning,Yes,MTWTF,Yes,
KD-010-R2,Immunization,Yes,MTWTFSS,Yes,
KD-010-R2,Nutrition,Yes,MTWTFSS,Yes,
KD-010-R2,Antenatal Care,Yes,Specific days,Yes,
KD-010-R2,Postnatal Care,Yes,Specific days,Yes,
KD-010-R2,IMCI,No,,,
KD-010-R2,Malaria,Yes,MTWTF,Yes,
KD-010-R2,Labour and Delivery,Yes,MTWTF,Yes,
KD-010-R2,Family Planning,Yes,MTWTF,Yes,
KD-010-R3,Immunization,Yes,MTWTF,Yes,
